tokenIndex,original
6,Colledge
10,pompe
14,funerall
61,veine
64,frantick
68,distemper'd
85,chang'd
114,corps
120,forgoe
122,childs
125,griefe
159,yeeres
168,teares
183,teares
190,childs
206,pitty
211,funerall
222,chiefe
242,losse
272,joyn'd
277,equall
300,mutuall
304,hee
310,bee
312,lesse
313,deare
343,counsell
372,himselfe
385,hee
386,hath
394,griefe
421,clos'd
426,whilest
431,over-hasty
440,speake
453,custome
464,buriall
478,thinke
498,finde
523,mortall
525,Wee
531,wee
532,doe
535,thinke
541,alwaies
555,perversness
557,mans
562,lacke
581,lesse
588,mourne
594,wee
598,teares
601,teares
602,wee
634,griefe
639,wish'd
642,surviv'd
656,proofe
676,helpe
686,Countrey
692,selfe
701,favour
717,Doth
733,call'd
743,griefe
751,teares
766,weepes
776,sonne
792,paines
803,recompence
809,tooke
812,towardnesse
833,gaine
842,dammage
875,onely
896,hath
905,rejoyce
909,hath
910,happen'd
928,sonne
933,mourne
938,wee
944,certainely
977,remaines
985,gratefull
986,minde
1001,wee
1003,griefe
1038,bewaile
1046,selfe
1090,plac'd
1097,wee
1110,defence
1146,griefe
1174,hee
1179,griefe
1181,lesse
1197,oppress'd
1199,griefe
1205,suppresse
1220,dumbe
1247,daies
1254,bereav'd
1260,Rob'd
1270,desarts
1272,oft
1282,oft
1287,griefe
1310,oft
1336,favouring
1347,griefe
1355,equall
1380,stupendious
1384,honour
1390,Whilest
1393,selfe
1395,maim'd
1420,bosomes
1425,armes
1443,showres
1445,eies
1451,astonisht
1454,Griefe
1471,offence
1494,yeelds
1516,owne
1520,griefe
1522,quell'd
1531,compell'd
1537,disswade
1548,chiefe
1551,wee
1553,forbeare
1555,griefe
1559,vaine
1563,adde
1589,Wee
1593,teares
1597,teares
1640,prodigall
1646,wee
1654,evills
1656,surprize
1691,passe
1707,bels
1708,signifie
1716,favourite
1734,funeralls
1735,passe
1746,buriall
1766,plac'd
1784,stroakes
1792,lesse
1801,complaine
1806,sate
1822,aim'd
1828,wee
1838,alwaies
1850,whilest
1851,wee
1856,marvaile
1906,bee
1910,taske
1926,hath
1949,wee
1997,arrogancy
1998,thinke
2003,ruine
2024,liv'd
2038,bee
2044,himselfe
2046,griefe
2051,publique
2077,attaine
2093,againe
2104,owne
2135,free-hold
2151,bargaine
2163,seem'd
2183,untill
2196,Housholder
2197,hath
2200,alwaies
2218,ingratefull
2221,raile
2241,courtesie
2254,returne
2267,griefe
2318,liv'd
2332,Hee
2336,liv'd
2350,liv'd
2357,yeares
2371,looke
2376,appertaine
2381,Hee
2384,liv'd
2399,Onely
2402,yeeres
2407,hee
2408,receiv'd
2412,complaine
2413,wee
2451,liv'd
2453,yeeres
2465,swiftnesse
2503,hath
2505,shew'd
2519,shoar
2526,hath
2545,daies
2556,day-star
2557,day-star
2566,hath
2616,complaine
2618,lifes
2619,thred
2636,crosse
2637,o're
2645,th'
2650,willingnesse
2653,shew
2659,confesse
2664,houres
2686,yeers
2696,shortned
2704,pleas'd
2712,neighbour
2722,himselfe
2727,wisdome
2743,knowes
2746,evill
2750,hath
2751,withdrawne
2753,sonne
2765,rais'd
2767,hath
2801,bee
2808,onely
2816,Hee
2831,alwaies
2839,kil'd
2900,picke
2935,deare
2945,sicknesse
2952,wee
2956,prepar'd
2961,losse
2967,helpe
2982,minde
2992,bee
2994,chiefe
3000,evills
3112,hee
3115,himselfe
3149,passe
3157,selfe
3159,tam'd
3167,decayes
3186,eternall
3187,happinesse
3219,wish'd
3226,assur'd
3237,hath
3238,call'd
3241,himselfe
3247,Hee
3260,bodie
3265,minde
3271,hee
3273,admonish'd
3285,concern'd
3288,hee
3290,answer'd
3297,hee
3298,shew'd
3328,surpriz'd
3335,appeare
3347,confesse
3349,doth
3382,himselfe
3383,wholy
3389,prepar'd
3403,hath
3408,witnesse
3434,i've
3435,i've
3436,liv'd
3450,selfe
3463,Antients
3471,naturall
3476,painefull
3489,Hee
3515,rejoyce
3520,evill
3532,evill
3536,hath
3538,believ'd
3570,onely
3573,eternall
3589,hath
3606,wee
3608,poyson
3629,perpetuall
3646,losse
3654,colour
3658,unlesse
3660,wee
3661,mourne
3682,foule
3707,happinesse
3744,bee
3754,hee
3758,doe
3761,hee
3762,hath
3769,affaires
3772,hee
3780,bee
3788,plac'd
3801,businesse
3805,wondring
3821,opprest
3823,publique
3844,fil'd
3871,generall
3885,selfe
3895,Thinke
3901,hath
3927,Adde
3936,griefe
3937,bee
3944,exercis'd
3974,hardned
3986,reliefe
3988,'tis
3989,'tis
3996,griefe
4032,harmelesse
4037,hath
4046,where-ever
