tokenIndex,original
14,Theame
59,deduc'd
61,originall
69,doe
97,loyns
135,repair'd
137,beautifi'd
143,call'd
152,processe
176,uncontroul'd
186,hath
200,mark'd
214,hath
216,flourish'd
222,hath
224,lesse
235,Politique
248,priviledges
267,publike
276,lesse
284,throng'd
307,Souldiers
310,defence
340,Alms-houses
361,aboad
364,hath
378,Colledges
388,Common-wealths
408,towards
447,shal
479,us'd
483,register'd
487,call'd
512,chang'd
517,defac'd
548,Governours
575,divers
586,us'd
648,Conquerour
792,dayes
833,Governour
850,Arch-Angel
854,grandure
891,sate
896,honour
912,hath
938,sumptuousnesse
945,publike
1039,pay'd
1081,furnish'd
1093,hath
1094,shew'd
1112,priviledges
1114,hath
1155,honour
1158,confer'd
1168,lesse
1184,us'd
1194,perform'd
1250,adde
1254,lustre
1262,Governours
1317,Custome
1333,govern'd
1345,adorn'd
1358,dazle
1421,honour
1435,happinesse
1521,eares
1557,Epitomiz'd
1573,hath
1593,shew
1597,Honours
1622,throng'd
1631,easie
1648,honourable
1649,Societie
1660,march'd
1671,Maior
1682,march'd
1698,Colours
1699,embarqued
1703,severall
1713,Staires
1717,colours
1758,Musquets
1759,march'd
1773,Thundring
1774,Ecchoes
1781,pass'd
1784,streame
1794,severall
1800,Maior
1802,severall
1814,varietie
1817,Musick
1821,eare
1842,Souldiers
1848,white-hall
1849,white-hall
1858,Councell
1861,severall
1864,shott
1877,courtesie
1896,Maior
1901,Maior
1918,incounter
1933,colours
1957,Maiors
1960,againe
1985,Governour
1995,Thundring
1999,pass'd
2006,white-hall
2007,white-hall
2008,againe
2011,Souldiers
2034,Thundring
2068,Maior
2076,Souldiers
2086,solemnitie
2091,hath
2096,gracefull
2109,Maior
2114,severall
2119,severall
2131,Maior
2134,readie
2144,march'd
2150,Colours
2158,War-like
2189,severall
2201,Maior
2207,severall
2209,adorn'd
2212,Chaines
2216,certaine
2221,gownes
2222,furr'd
2228,Sattin
2238,Worshipfull
2248,Maior
2266,Maior
2317,farr
2344,seem'd
2370,foure
2372,sate
2383,haire
2393,seem'd
2397,embleme
2418,evill
2424,Virginitie
2436,sate
2457,bewaile
2479,Maior
2486,espy'd
2530,t'expresse
2531,t'expresse
2556,Honours
2631,Ne're
2672,Fill'd
2711,Maior
2716,Chappel
2719,Gyant
2749,plac'd
2756,Lyons
2758,Tygers
2773,Wildernesse
2779,sate
2799,sate
2815,seem'd
2828,sate
2836,Embleme
2840,seem'd
2850,Maior
2878,honour
2886,Majestie
2917,tam'd
2930,doth
2936,Governour
2950,Lawes
2976,addresse
2981,Maior
2988,saith
3010,usefull
3042,Governours
3044,skilfull
3101,Esteem'd
3116,Reclaim'd
3125,Honoured
3131,daies
3153,honour'd
3163,Maior
3205,Church-yard
3208,lodg'd
3210,Colours
3220,dayes
3235,testify'd
3239,publick
3267,lustre
3271,exactnesse
3291,businesse
3295,compasse
3360,hath
3383,confesse
3387,Courtesie
3415,adde
3424,Honourable
3443,Governour
3445,hath
3449,rul'd
3492,Citie
