token,tokenToMatch,endReason,tag,tagIndex
know,know,s,,
her,her,s,,
pranks,pranks,s,,
right,right,s,,
well,well,c,,
.,.,nn,,
Satyr,satyr,c,strd,0
",",",",s,,
we,we,s,considrd,0
must,must,s,,
have,have,s,strd,0
a,a,s,considrd,0
spell,spell,c,,
",",",",n,,
For,for,s,considrd,0
your,your,s,,
tongue,tongue,c,,
",",",",s,,
it,it,s,,
runs,runs,s,strd,0
too,too,s,,
fleet,fleet,c,,
.,.,nn,,
Not,not,s,,
so,so,s,,
nimbly,nimbly,s,,
as,as,s,considrd,0
your,your,s,,
feet,feet,c,,
",",",",n,,
When,when,s,,
about,about,s,,
the,the,s,considrd,0
creame-bowles,creame-bowles,s,,
sweet,sweet,c,,
",",",",n,,
You,you,c,considrd,0
",",",",s,,
and,and,s,,
all,all,s,,
your,your,s,,
Elues,elues,s,,
do,do,s,strd,0
meet,meet,c,,
.,.,n,,
This,this,s,considrd,0
is,is,s,considrd,0
MAB,mab,s,,
the,the,s,considrd,0
mistris-Faerie,mistris-faerie,c,,
",",",",n,,
That,that,s,considrd,0
does,does,s,strd,0
nightly,nightly,s,,
rob,rob,s,,
the,the,s,considrd,0
dayrie,dayrie,c,,
",",",",n,,
And,and,s,,
can,can,s,,
hurt,hurt,c,,
",",",",s,,
or,or,s,considrd,0
help,help,s,strd,0
the,the,s,considrd,0
cherning,cherning,c,,
",",",",n,,
(,(,c,,
As,as,s,considrd,0
she,she,s,strd,0
please,please,c,,
),),s,,
without,without,s,,
discerning,discerning,c,,
.,.,nn,,
PVG,pvg,c,,
",",",",s,,
you,you,s,considrd,0
will,will,s,,
anon,anon,s,,
take,take,s,considrd,0
warning,warning,c,,
?,?,n,,
She,she,c,strd,0
",",",",s,,
that,that,s,considrd,0
pinches,pinches,s,,
country,country,s,strd,0
wenches,wenches,c,,
",",",",n,,
If,if,s,,
they,they,s,considrd,0
rub,rub,s,,
not,not,s,,
clean,clean,s,strd,0
their,their,s,considrd,0
benches,benches,c,,
",",",",n,,
And,and,s,,
with,with,s,considrd,0
sharper,sharper,s,,
nails,nails,s,strd,0
remembers,remembers,c,,
",",",",n,,
When,when,s,,
they,they,s,considrd,0
rake,rake,s,,
not,not,s,,
up,up,s,strd,0
their,their,s,considrd,0
embers,embers,c,,
:,:,n,,
But,but,s,,
if,if,s,,
so,so,s,,
they,they,s,considrd,0
chance,chance,s,,
to,to,s,considrd,0
feast,feast,s,,
her,her,c,,
",",",",n,,
In,in,s,considrd,0
a,a,s,considrd,0
shoe,shoe,s,strd,0
she,she,s,strd,0
drops,drops,s,,
a,a,s,considrd,0
tester,tester,c,,
.,.,nn,,
Shall,shall,s,considrd,0
we,we,s,considrd,0
strip,strip,s,,
the,the,s,considrd,0
skipping,skipping,s,,
iester,iester,c,,
?,?,n,,
This,this,s,considrd,0
is,is,s,considrd,0
she,she,c,strd,0
",",",",s,,
that,that,s,considrd,0
empties,empties,s,,
cradles,cradles,c,,
",",",",n,,
Takes,takes,s,,
out,out,s,,
children,children,c,,
",",",",s,,
puts,puts,s,,
in,in,s,considrd,0
ladles,ladles,c,,
:,:,n,,
Traynes,traynes,s,,
forth,forth,s,,
mid-wiues,mid-wiues,s,,
in,in,s,considrd,0
their,their,s,considrd,0
slumber,slumber,c,,
",",",",n,,
With,with,s,considrd,0
a,a,s,considrd,0
sieve,sieve,s,strd,0
the,the,s,considrd,0
holes,holes,s,,
to,to,s,considrd,0
number,number,c,,
.,.,n,,
And,and,s,,
then,then,s,,
leads,leads,s,,
them,them,c,,
",",",",s,,
from,from,s,,
her,her,s,,
borroughs,borroughs,n,,
Home,home,s,,
through,through,s,,
ponds,ponds,c,,
",",",",s,,
and,and,s,,
water,water,s,,
furrows,furrows,c,strd,0
.,.,nn,,
Shall,shall,s,considrd,0
not,not,s,,
all,all,s,,
this,this,s,considrd,0
mocking,mocking,s,,
stir,stir,s,strd,0
us,us,c,strd,0
?,?,n,,
She,she,s,strd,0
can,can,s,,
start,start,s,,
our,our,s,,
FRANKLINS,franklins,s,,
daughters,daughters,c,,
",",",",n,,
In,in,s,considrd,0
their,their,s,considrd,0
sleep,sleep,c,strd,0
",",",",s,,
with,with,s,considrd,0
shrikes,shrikes,c,,
",",",",s,,
and,and,s,,
laughters,laughters,c,,
",",",",n,,
And,and,s,,
on,on,s,,
sweet,sweet,s,,
Saint,saint,s,considrd,0
ANNE'S,anne's,s,,
night,night,c,,
",",",",n,,
Feed,feed,s,,
them,them,s,,
with,with,s,considrd,0
a,a,s,considrd,0
promised,promised,s,strd,0
sight,sight,c,,
",",",",n,,
Some,some,s,,
of,of,s,considrd,0
husbands,husbands,c,,
",",",",s,,
some,some,s,,
of,of,s,considrd,0
lovers,lovers,c,strd,0
",",",",n,,
Which,which,s,considrd,0
an,an,s,,
empty,empty,s,strd,0
dream,dream,s,strd,0
discouers,discouers,c,,
.,.,nn,,
Satyr,satyr,c,strd,0
",",",",s,,
vengeance,vengeance,s,,
near,near,s,strd,0
you,you,s,considrd,0
houers,houers,c,,
",",",",n,,
And,and,s,,
in,in,s,considrd,0
hope,hope,s,,
that,that,s,considrd,0
you,you,s,considrd,0
would,would,s,,
come,come,s,,
here,here,n,,
Yester-eue,yester-eue,s,,
the,the,s,considrd,0
lady,lady,s,,
Summer,summer,c,,
",",",",n,,
She,she,s,strd,0
invited,invited,s,strd,0
to,to,s,considrd,0
a,a,s,considrd,0
banquet,banquet,c,,
:,:,n,,
But,but,s,,
(,(,c,,
in,in,s,considrd,0
sooth,sooth,c,,
),),s,,
I,i,s,considrd,0
con,con,s,,
you,you,s,considrd,0
thank,thank,s,strd,0
yet,yet,c,,
",",",",n,,
That,that,s,considrd,0
you,you,s,considrd,0
could,could,s,,
so,so,s,,
well,well,s,,
deceive,deceive,s,strd,0
her,her,n,,
Of,of,s,considrd,0
the,the,s,considrd,0
pride,pride,s,,
which,which,s,considrd,0
began,began,s,strd,0
vp-heaue,vp-heaue,s,,
her,her,c,,
:,:,n,,
And,and,s,,
(,(,c,,
by,by,s,considrd,0
this,this,c,considrd,0
),),s,,
would,would,s,,
so,so,s,,
have,have,s,strd,0
blown,blown,s,strd,0
her,her,c,,
",",",",n,,
As,as,s,considrd,0
no,no,s,considrd,0
wood-god,wood-god,s,,
should,should,s,,
have,have,s,strd,0
known,known,s,strd,0
her,her,c,,
.,.,nn,,
Mistress,mistress,c,strd,0
",",",",s,,
this,this,s,considrd,0
is,is,s,considrd,0
only,only,s,strd,0
spite,spite,c,strd,0
:,:,n,,
For,for,s,considrd,0
you,you,s,considrd,0
would,would,s,,
not,not,s,,
yester-night,yester-night,n,,
Kiss,kiss,s,strd,0
him,him,s,,
in,in,s,considrd,0
the,the,s,considrd,0
cock-shout,cock-shout,s,,
light,light,c,,
.,.,nn,,
By,by,s,considrd,0
PAN,pan,c,,
",",",",s,,
and,and,s,,
thou,thou,s,considrd,0
have,have,s,strd,0
hit,hit,s,,
it,it,s,,
right,right,c,,
.,.,nn,,
Fayries,fayries,c,,
",",",",s,,
pinch,pinch,s,,
him,him,s,,
black,black,s,,
and,and,s,,
blue,blue,c,,
",",",",n,,
Now,now,s,,
you,you,s,considrd,0
have,have,s,strd,0
him,him,c,,
",",",",s,,
make,make,s,,
him,him,s,,
rue,rue,c,,
.,.,nn,,
O,o,c,,
",",",",s,,
hold,hold,c,,
",",",",s,,
MAB,mab,c,,
:,:,s,,
I,i,s,considrd,0
sue,sue,c,,
.,.,nn,,
Nay,nay,c,,
",",",",s,,
the,the,s,considrd,0
devil,devil,s,strd,0
shall,shall,s,considrd,0
have,have,s,strd,0
his,his,s,considrd,0
due,due,c,,
.,.,nn,,
Pardon,pardon,s,,
lady,lady,s,,
this,this,s,considrd,0
wild,wild,s,,
strain,strain,c,strd,0
",",",",n,,
Common,common,s,considrd,0
with,with,s,considrd,0
the,the,s,considrd,0
SYLVAN,sylvan,s,,
train,train,c,strd,0
",",",",n,,
That,that,s,considrd,0
do,do,s,strd,0
skip,skip,s,,
about,about,s,,
this,this,s,considrd,0
plain,plain,c,strd,0
:,:,n,,
Elues,elues,c,,
",",",",s,,
apply,apply,s,,
your,your,s,,
gyre,gyre,s,,
again,again,c,strd,0
.,.,n,,
And,and,s,,
whilst,whilst,s,,
some,some,s,,
do,do,s,strd,0
hop,hop,s,,
the,the,s,considrd,0
ring,ring,c,,
",",",",n,,
Some,some,s,,
shall,shall,s,considrd,0
play,play,c,,
",",",",s,,
and,and,s,,
some,some,s,,
shall,shall,s,considrd,0
sing,sing,c,,
",",",",n,,
We,we,s,strd,0
Will,will,s,strd,1
express,express,s,strd,0
in,in,s,considrd,0
every,every,s,strd,0
thing,thing,c,,
",",",",nn,,
THis,this,s,considrd,0
is,is,s,considrd,0
she,she,c,strd,0
",",",",n,,
This,this,s,considrd,0
is,is,s,considrd,0
she,she,c,strd,0
",",",",n,,
In,in,s,considrd,0
whose,whose,s,,
world,world,s,,
of,of,s,considrd,0
grace,grace,n,,
Every,every,s,strd,0
season,season,c,,
",",",",s,,
person,person,c,,
",",",",s,,
place,place,c,,
",",",",n,,
That,that,s,considrd,0
receive,receive,s,strd,0
her,her,c,,
",",",",s,,
happy,happy,s,,
be,be,c,considrd,0
",",",",n,,
For,for,s,considrd,0
with,with,s,considrd,0
no,no,s,considrd,0
less,less,c,strd,0
",",",",n,,
Then,then,n,,
Does,does,s,strd,0
she,she,s,strd,0
private,private,s,strd,0
Lares,lares,s,,
bless,bless,c,strd,0
",",",",n,,
And,and,s,,
ours,ours,s,,
