token,tokenToMatch,endReason,tag,tagIndex
GOod,good,s,,
morrow,morrow,s,,
fellow,fellow,s,,
Filcher,filcher,c,,
",",",",n,,
What,what,c,,
",",",",s,,
do,do,s,,
we,we,s,considrd,0
sink,sink,s,,
or,or,s,considrd,0
swim,swim,c,,
?,?,n,,
Thou,thou,s,considrd,0
look,look,s,strd,0
so,so,s,,
like,like,s,,
a,a,s,considrd,0
Pilcher,pilcher,c,,
?,?,nn,,
Good,good,s,,
morrow,morrow,s,,
fellow,fellow,s,,
Nim,nim,c,,
",",",",n,,
The,the,s,considrd,0
Devil's,devil's,s,,
in,in,s,considrd,0
our,our,s,,
destiny,destiny,c,,
",",",",n,,
I,i,s,considrd,0
cannot,cannot,s,,
get,get,s,,
a,a,s,considrd,0
pluck,pluck,c,,
.,.,nn,,
No,no,c,considrd,0
",",",",s,,
surely,surely,s,,
if,if,s,,
the,the,s,considrd,0
Devil,devil,s,,
were,were,s,,
in,in,n,strd,0
it,it,n,strd,1
We,we,s,considrd,0
should,should,s,,
have,have,s,considrd,0
better,better,s,,
luck,luck,c,,
.,.,nn,,
What,what,s,,
Star,star,s,,
is,is,s,considrd,0
my,my,s,considrd,0
director,director,c,,
",",",",n,,
I,i,s,considrd,0
am,am,s,,
in,in,s,considrd,0
such,such,s,,
a,a,s,considrd,0
state,state,c,,
?,?,nn,,
Nay,nay,c,,
",",",",s,,
prithee,prithee,s,strd,0
brother,brother,s,,
Hector,hector,n,,
Do,do,s,,
not,not,s,,
fall,fall,s,,
out,out,s,,
with,with,s,considrd,0
Fate,fate,c,,
;,;,n,,
For,for,s,considrd,0
we,we,s,considrd,0
are,are,s,,
fortunes,fortunes,s,,
Minions,minions,c,,
",",",",n,,
And,and,s,,
sight,sight,s,,
under,under,s,,
her,her,s,,
banner,banner,c,,
",",",",n,,
It,it,s,strd,0
Is,is,s,strd,1
she,she,s,considrd,0
is,is,s,considrd,0
Queen,queen,s,,
of,of,s,considrd,0
all,all,s,,
the,the,s,considrd,0
world,world,c,,
.,.,nn,,
A,a,s,considrd,0
mischief,mischief,s,,
light,light,s,,
upon,upon,s,,
her,her,c,,
.,.,n,,
No,no,s,considrd,0
money,money,s,,
is,is,s,considrd,0
revealed,revealed,s,strd,0
yet,yet,c,,
",",",",n,,
I,i,s,considrd,0
wonder,wonder,s,,
where,where,s,,
it,it,s,,
lingers,lingers,c,,
?,?,nn,,
The,the,s,considrd,0
Soldier,soldier,s,strd,0
has,has,s,strd,0
concealed,concealed,s,strd,0
it,it,c,,
",",",",n,,
It,it,s,strd,0
Is,is,s,strd,1
fast,fast,s,,
in,in,s,considrd,0
iron,iron,s,,
fingers,fingers,c,,
;,;,n,,
From,from,s,,
whence,whence,s,,
if,if,s,,
we,we,s,considrd,0
could,could,s,,
get,get,s,,
it,it,n,,
By,by,s,considrd,0
fury,fury,s,,
or,or,s,considrd,0
by,by,s,considrd,0
fraud,fraud,c,,
:,:,n,,
We,we,s,considrd,0
had,had,s,considrd,0
as,as,s,considrd,0
good,good,s,,
attempt,attempt,s,,
to,to,s,considrd,0
pick,pick,n,,
The,the,s,considrd,0
Pocket,pocket,s,,
of,of,s,considrd,0
a,a,s,considrd,0
Baud,baud,c,,
",",",",nn,,
Your,your,s,,
roaring,roaring,s,,
Cavalier,cavalier,n,,
Who,who,s,considrd,0
when,when,s,,
he,he,s,considrd,0
had,had,s,considrd,0
the,the,s,considrd,0
Chink,chink,c,,
",",",",n,,
Would,would,s,,
bravely,bravely,s,,
domineer,domineer,n,,
In,in,s,considrd,0
diceing,diceing,c,,
",",",",s,,
drabs,drabs,s,,
and,and,s,,
drink,drink,c,,
:,:,n,,
Go,go,s,,
ask,ask,s,,
him,him,s,,
now,now,s,,
for,for,s,considrd,0
money,money,n,,
And,and,s,,
he,he,s,considrd,0
has,has,s,strd,0
none,none,s,,
at,at,s,considrd,0
all,all,c,,
",",",",n,,
Bur,bur,s,,
cries,cries,s,strd,0
it,it,s,strd,0
is,is,s,strd,1
in,in,s,considrd,0
my,my,s,considrd,0
Compting-house,compting-house,n,,
In,in,s,considrd,0
Haberdashers-Hall,haberdashers-hall,c,,
.,.,nn,,
Our,our,s,,
sly,sly,s,,
Trappanning,trappanning,s,,
trade,trade,n,,
Maintained,maintained,s,strd,0
with,with,s,considrd,0
so,so,s,,
much,much,s,,
fury,fury,c,,
",",",",n,,
Is,is,s,considrd,0
openly,openly,s,,
bewrayed,bewrayed,n,strd,0
Both,both,s,,
by,by,s,considrd,0
the,the,s,considrd,0
Judge,judge,s,,
and,and,s,,
Jury,jury,c,,
;,;,n,,
For,for,s,considrd,0
Lawyers,lawyers,s,,
have,have,s,considrd,0
so,so,s,,
many,many,s,,
quirks,quirks,c,,
",",",",n,,
And,and,s,,
are,are,s,,
such,such,s,,
curious,curious,s,,
skanners,skanners,c,,
",",",",n,,
That,that,s,considrd,0
they,they,s,considrd,0
grow,grow,s,,
cunninger,cunninger,s,,
then,then,s,,
we,we,c,considrd,0
",",",",n,,
And,and,s,,
do,do,s,,
trappan,trappan,s,,
Trappanners,trappanners,c,,
.,.,nn,,
Our,our,s,,
dyceing,dyceing,s,,
Trade,trade,s,,
is,is,s,considrd,0
down,down,s,,
too,too,c,,
",",",",n,,
For,for,s,considrd,0
when,when,s,,
we,we,s,considrd,0
do,do,s,,
begin,begin,n,,
