token,tokenToMatch,endReason,tag,tagIndex
to,to,s,considrd,0
ye,ye,s,,
for,for,s,considrd,0
your,your,s,,
good,good,s,,
Opinion,opinion,s,,
of,of,s,considrd,0
me,me,c,,
.,.,s,,
But,but,s,,
with,with,s,considrd,0
Submission,submission,c,,
",",",",n,,
Sir,sir,c,,
",",",",s,,
this,this,s,considrd,0
somewhat,somewhat,s,,
troubles,troubles,s,,
me,me,c,,
:,:,s,,
for,for,s,considrd,0
such,such,s,,
a,a,s,considrd,0
reminding,reminding,s,,
a,a,s,considrd,0
Man,man,s,,
of,of,s,considrd,0
a,a,s,considrd,0
Benefit,benefit,s,,
seems,seems,n,,
to,to,s,considrd,0
intimate,intimate,s,,
as,as,s,considrd,0
if,if,s,,
he,he,s,considrd,0
were,were,s,,
insensible,insensible,s,,
of,of,s,considrd,0
it,it,c,,
.,.,s,,
--,--,s,,
But,but,s,,
in,in,s,considrd,0
one,one,s,,
Word,word,c,,
",",",",s,,
Sir,sir,c,,
",",",",s,,
What,what,s,,
can,can,s,,
I,i,n,considrd,0
serve,serve,s,,
you,you,s,considrd,0
in,in,nnn,considrd,0
I,i,s,strd,0
Will,will,s,strd,1
tell,tell,s,,
you,you,c,considrd,0
:,:,s,,
in,in,s,strd,0
the,the,s,strd,1
first,first,s,,
place,place,s,,
you,you,s,considrd,0
are,are,s,,
to,to,s,considrd,0
understand,understand,c,,
",",",",s,,
that,that,s,considrd,0
the,the,s,considrd,0
Business,business,s,,
of,of,n,considrd,0
the,the,s,considrd,0
Wedding,wedding,s,,
is,is,s,considrd,0
all,all,s,,
sham,sham,nnn,,
Why,why,s,,
de'e,de'e,s,,
put,put,s,,
it,it,s,,
upo'th,upo'th,s,,
World,world,s,,
then,then,c,,
?,?,nnn,,
I,i,s,strd,0
Will,will,s,strd,1
tell,tell,s,,
ye,ye,s,,
the,the,s,considrd,0
whole,whole,s,,
Mystery,mystery,s,,
of,of,s,considrd,0
it,it,c,,
",",",",s,,
and,and,s,,
give,give,s,,
ye,ye,s,,
such,such,s,,
a,a,s,considrd,0
light,light,s,,
into,into,s,considrd,0
my,my,s,considrd,0
Son's,son's,n,,
Conversation,conversation,s,,
and,and,s,,
my,my,s,considrd,0
Designs,designs,c,,
",",",",s,,
that,that,s,considrd,0
you,you,s,strd,0
will,will,s,strd,1
immediately,immediately,s,,
see,see,s,,
what,what,s,,
part,part,s,,
you,you,s,considrd,0
are,are,s,,
to,to,n,considrd,0
act,act,s,,
in,in,s,considrd,0
this,this,s,considrd,0
Business,business,c,,
.,.,s,,
--,--,s,,
When,when,s,,
I,i,s,considrd,0
first,first,s,,
took,took,s,,
him,him,s,,
from,from,s,,
School,school,c,,
",",",",s,,
Socia,socia,c,,
",",",",s,,
I,i,s,considrd,0
left,left,s,,
him,him,s,,
a,a,n,considrd,0
little,little,s,,
to,to,s,considrd,0
himself,himself,c,,
",",",",s,,
to,to,s,considrd,0
try,try,s,,
which,which,s,considrd,0
way,way,s,,
his,his,s,considrd,0
Genius,genius,s,,
would,would,s,strd,0
lead,lead,s,,
him,him,c,,
:,:,s,,
which,which,s,considrd,0
was,was,s,,
hard,hard,n,,
to,to,s,considrd,0
know,know,s,,
for,for,s,considrd,0
certain,certain,c,,
",",",",s,,
or,or,s,considrd,0
indeed,indeed,s,,
tolerably,tolerably,s,,
to,to,s,considrd,0
guess,guess,s,,
at,at,c,considrd,0
",",",",s,,
whilst,whilst,s,,
he,he,s,considrd,0
was,was,s,,
a,a,s,considrd,0
Boy,boy,c,,
",",",",n,,
under,under,s,,
the,the,s,considrd,0
Awe,awe,s,,
of,of,s,considrd,0
a,a,s,considrd,0
Rod,rod,s,,
and,and,s,,
Master,master,nnn,,
Right,right,c,,
",",",",s,,
Sir,sir,c,,
.,.,nnn,,
You,you,s,considrd,0
know,know,s,,
it,it,s,strd,0
is,is,s,strd,1
a,a,s,considrd,0
common,common,s,considrd,0
thing,thing,s,,
for,for,s,considrd,0
most,most,s,,
young,young,s,,
Men,men,c,,
",",",",s,,
to,to,s,considrd,0
give,give,s,,
up,up,s,,
themselves,themselves,s,,
wholly,wholly,n,,
either,either,s,,
to,to,s,considrd,0
Horses,horses,c,,
",",",",s,,
Hounds,hounds,c,,
",",",",s,,
Books,books,c,,
",",",",s,,
or,or,s,considrd,0
the,the,s,considrd,0
like,like,c,,
:,:,s,,
New,new,s,considrd,0
he,he,s,considrd,0
was,was,s,,
not,not,s,,
over-fond,over-fond,s,,
of,of,s,considrd,0
any,any,n,,
of,of,s,considrd,0
these,these,c,,
",",",",s,,
though,though,s,,
he,he,s,considrd,0
was,was,s,,
in,in,s,considrd,0
at,at,s,considrd,0
all,all,c,,
.,.,s,,
This,this,s,considrd,0
I,i,s,considrd,0
liked,liked,s,,
well,well,nnn,,
Y',y',s,,
had,had,s,considrd,0
reason,reason,c,,
",",",",s,,
Sir,sir,c,,
:,:,s,,
For,for,s,considrd,0
not,not,s,,
to,to,s,considrd,0
be,be,s,considrd,0
too,too,s,,
much,much,s,,
^ddicted,^ddicted,s,,
to,to,s,considrd,0
any,any,s,,
one,one,s,,
thing,thing,c,,
",",",",s,,
I,i,s,considrd,0
take,take,n,considrd,0
to,to,s,considrd,0
be,be,s,considrd,0
the,the,s,considrd,0
most,most,s,,
excellent,excellent,s,,
Rule,rule,s,,
of,of,s,considrd,0
Life,life,nnn,,
Then,then,s,,
for,for,s,considrd,0
his,his,s,considrd,0
Conversation,conversation,s,,
Socia,socia,c,,
:,:,s,,
He,he,s,considrd,0
was,was,s,,
never,never,s,considrd,0
uneasy,uneasy,s,strd,0
upon,upon,s,,
any,any,s,,
occasion,occasion,c,,
",",",",s,,
nor,nor,n,,
would,would,s,strd,0
he,he,s,considrd,0
ever,ever,s,,
spoil,spoil,s,,
Company,company,c,,
",",",",s,,
but,but,s,,
closed,closed,s,strd,0
with,with,s,considrd,0
all,all,s,,
Humors,humors,c,strd,0
",",",",s,,
never,never,s,considrd,0
thwarting,thwarting,n,,
others,others,c,,
",",",",s,,
nor,nor,s,,
assuming,assuming,s,,
too,too,s,,
much,much,s,,
to,to,s,considrd,0
himself,himself,c,,
.,.,s,,
And,and,s,,
I,i,s,considrd,0
think,think,s,,
this,this,s,considrd,0
was,was,s,,
the,the,s,considrd,0
way,way,s,,
to,to,s,considrd,0
get,get,n,,
Reputation,reputation,s,,
and,and,s,,
Friends,friends,s,,
without,without,s,,
Envy,envy,nnn,,
He,he,s,considrd,0
took,took,s,,
a,a,s,considrd,0
wise,wise,s,,
Course,course,c,,
:,:,s,,
For,for,s,considrd,0
as,as,s,considrd,0
the,the,s,considrd,0
World,world,s,,
goes,goes,s,,
now,now,c,,
",",",",s,,
Complaisance,complaisance,s,,
goes,goes,s,,
current,current,c,strd,0
",",",",n,,
when,when,s,,
Plaindealing,plaindealing,s,,
will,will,s,,
not,not,s,,
pass,pass,nnn,,
In,in,s,considrd,0
this,this,s,considrd,0
Interim,interim,c,,
",",",",s,,
there,there,s,considrd,0
comes,comes,s,,
a,a,s,considrd,0
Woman,woman,s,,
about,about,s,,
three,three,s,,
Years,years,s,,
ago,ago,s,,
from,from,s,,
Andro,andro,c,,
",",",",s,,
who,who,n,considrd,0
takes,takes,s,,
Lodgings,lodgings,s,,
in,in,s,considrd,0
our,our,s,,
Neighborhood,neighborhood,c,strd,0
",",",",s,,
forced,forced,s,,
hither,hither,s,,
by,by,s,considrd,0
the,the,s,considrd,0
scantiness,scantiness,s,,
of,of,s,considrd,0
her,her,s,,
own,own,n,,
Fortune,fortune,c,,
",",",",s,,
and,and,s,,
the,the,s,considrd,0
neglect,neglect,s,,
of,of,s,considrd,0
her,her,s,,
Relations,relations,c,,
:,:,s,,
But,but,s,,
she,she,s,considrd,0
was,was,s,,
a,a,s,considrd,0
fine,fine,s,,
Woman,woman,s,,
indeed,indeed,c,,
",",",",s,,
and,and,n,,
in,in,s,considrd,0
the,the,s,considrd,0
very,very,s,,
Flower,flower,s,,
of,of,s,considrd,0
her,her,s,,
Age,age,nnn,,
Ah,ah,c,,
",",",",s,,
Sir,sir,c,,
!,!,s,,
I,i,s,considrd,0
fear,fear,s,,
this,this,s,considrd,0
same,same,s,,
fine,fine,s,,
Woman,woman,s,,
bodes,bodes,s,,
us,us,s,,
no,no,s,considrd,0
good,good,c,,
.,.,nnn,,
At,at,s,considrd,0
first,first,s,,
indeed,indeed,c,,
",",",",s,,
she,she,s,considrd,0
lived,lived,s,,
a,a,s,considrd,0
very,very,s,,
honest,honest,c,,
;,;,s,,
thrifty,thrifty,c,,
",",",",s,,
and,and,s,,
laborious,laborious,s,,
sort,sort,s,,
of,of,s,considrd,0
a,a,n,considrd,0
Life,life,c,,
",",",",s,,
earning,earning,s,,
her,her,s,,
Bread,bread,s,,
at,at,s,considrd,0
her,her,s,,
Fingers,fingers,s,,
ends,ends,c,,
.,.,s,,
But,but,s,,
afterward,afterward,c,strd,0
",",",",s,,
when,when,s,,
the,the,n,considrd,0
Love-business,love-business,s,,
came,came,s,,
on,on,c,,
",",",",s,,
and,and,s,,
the,the,s,considrd,0
Golden,golden,s,,
Promises,promises,s,,
from,from,s,,
this,this,s,considrd,0
and,and,s,,
the,the,c,strd,0
other,other,c,strd,1
",",",",s,,
(,(,c,,
as,as,n,considrd,0
People,people,s,,
had,had,s,considrd,0
rather,rather,s,,
follow,follow,s,,
their,their,s,considrd,0
Pleasure,pleasure,s,,
than,than,s,,
their,their,s,considrd,0
Work,work,c,,
),),s,,
she,she,s,considrd,0
accepts,accepts,s,,
of,of,s,considrd,0
their,their,n,considrd,0
Offers,offers,c,,
",",",",s,,
and,and,s,,
immediately,immediately,s,,
sets,sets,s,,
up,up,s,,
the,the,s,considrd,0
Trad^,trad^,c,,
.,.,s,,
Some,some,s,,
of,of,s,considrd,0
her,her,s,,
Gallants,gallants,c,,
",",",",s,,
as,as,s,considrd,0
ill,ill,s,,
luck,luck,n,,
would,would,s,,
have,have,s,considrd,0
it,it,c,,
",",",",s,,
carried,carried,s,,
my,my,s,considrd,0
Boy,boy,s,,
along,along,s,,
with,with,s,considrd,0
'em,'em,s,,
for,for,s,considrd,0
Company's,company's,s,,
sake,sake,c,,
