token,tokenToMatch,endReason,tag,tagIndex
IO,io,c,,
",",",",s,,
of,of,s,considrd,0
whom,whom,s,,
we,we,s,considrd,0
next,next,s,,
discuss,discuss,c,strd,0
",",",",n,,
Daughter,daughter,s,,
toth',toth',s,,
River,river,s,,
Inachus,inachus,c,,
",",",",n,,
(,(,c,,
The,the,s,considrd,0
fairest,fairest,s,,
Nymph,nymph,s,,
that,that,s,considrd,0
lived,lived,s,strd,0
that,that,s,considrd,0
time,time,c,,
",",",",n,,
As,as,s,considrd,0
being,being,s,,
in,in,s,considrd,0
her,her,s,,
youth,youth,s,,
and,and,s,,
prime,prime,c,,
),),n,,
Was,was,s,,
seen,seen,s,,
by,by,s,considrd,0
Jove,jove,s,strd,0
loved,loved,c,strd,0
",",",",s,,
and,and,s,,
comprest,comprest,c,,
.,.,n,,
Queen,queen,s,,
Juno,juno,c,strd,0
",",",",s,,
Her,her,c,,
",",",",s,,
as,as,s,considrd,0
of,of,s,considrd,0
the,the,s,considrd,0
rest,rest,c,,
",",",",n,,
Grown,grown,s,strd,0
Jealous,jealous,s,,
over,over,c,strd,0
",",",",s,,
does,does,s,strd,0
project,project,s,,
lay,lay,c,,
",",",",n,,
How,how,s,,
in,in,s,considrd,0
their,their,s,considrd,0
sports,sports,s,,
them,them,s,,
to,to,s,considrd,0
betray,betray,c,,
.,.,n,,
Whom,whom,s,,
to,to,s,considrd,0
prevent,prevent,s,,
(,(,c,,
J,j,s,,
know,know,s,,
not,not,s,,
how,how,c,,
),),n,,
But,but,s,,
Jove,jove,s,strd,0
transhapes,transhapes,s,,
her,her,s,,
to,to,s,considrd,0
a,a,s,considrd,0
Cow,cow,c,,
.,.,n,,
The,the,s,considrd,0
Goddess,goddess,s,strd,0
knowing,knowing,s,,
how,how,s,,
indeard,indeard,n,,
She,she,s,considrd,0
was,was,s,,
to,to,s,considrd,0
him,him,c,,
",",",",s,,
comes,comes,s,,
to,to,s,considrd,0
the,the,s,considrd,0
Heard,heard,c,,
",",",",n,,
And,and,s,,
begs,begs,s,,
this,this,s,considrd,0
Heifer,heifer,c,,
.,.,s,,
He,he,s,considrd,0
not,not,s,,
dared,dared,n,strd,0
(,(,c,,
However,however,s,,
the,the,s,considrd,0
request,request,s,,
seemed,seemed,s,strd,0
hard,hard,c,,
),),n,,
Her,her,s,,
to,to,s,considrd,0
deny,deny,c,,
.,.,s,,
She,she,s,strd,0
Is,is,s,strd,1
now,now,s,,
her,her,s,,
charge,charge,c,,
",",",",n,,
And,and,s,,
naught,naught,s,strd,0
her,her,s,,
freedom,freedom,s,strd,0
can,can,s,,
enlarge,enlarge,c,strd,0
.,.,n,,
The,the,s,considrd,0
passages,passages,s,,
that,that,s,considrd,0
hence,hence,s,,
may,may,s,,
grow,grow,c,,
",",",",n,,
The,the,s,considrd,0
sequel,sequel,s,strd,0
will,will,s,,
hereafter,hereafter,s,,
show,show,c,,
.,.,n,,
HEre,here,c,,
",",",",s,,
Daphne,daphne,c,,
",",",",s,,
by,by,s,considrd,0
your,your,s,,
father,father,s,,
Peneus,peneus,s,,
streams,streams,n,,
(,(,c,,
which,which,s,considrd,0
falling,falling,s,,
from,from,s,,
the,the,s,considrd,0
top,top,s,,
of,of,s,considrd,0
Pindus,pindus,s,,
mount,mount,c,,
",",",",n,,
Waters,waters,s,,
Hemonian,hemonian,s,,
Tempe,tempe,c,,
),),s,,
let,let,s,,
us,us,s,,
sit,sit,c,,
",",",",n,,
All,all,s,,
daughters,daughters,s,,
to,to,s,considrd,0
the,the,s,considrd,0
Rivers,rivers,s,,
flowing,flowing,s,,
near,near,c,strd,0
:,:,n,,
There,there,s,considrd,0
old,old,s,,
Apidanus,apidanus,s,,
steals,steals,s,strd,0
(,(,c,,
murmuring,murmuring,c,,
),),s,,
by,by,c,considrd,0
;,;,n,,
Next,next,c,,
",",",",s,,
Poplar-shadowed,poplar-shadowed,s,,
Enipeus,enipeus,s,,
glides,glides,c,,
:,:,n,,
Not,not,s,,
far,far,c,,
",",",",s,,
Amphrisus,amphrisus,c,,
",",",",s,,
Aeas,aeas,c,,
",",",",s,,
and,and,s,,
amongst,amongst,s,strd,0
these,these,c,,
",",",",n,,
(,(,c,,
Not,not,s,,
least,least,c,,
),),s,,
my,my,s,considrd,0
father,father,c,,
",",",",s,,
good,good,s,,
old,old,s,,
Inachus,inachus,n,,
Lifts,lifts,s,,
up,up,s,,
his,his,s,considrd,0
reverend,reverend,s,,
head,head,c,,
",",",",s,,
with,with,s,considrd,0
fresh,fresh,s,,
flowers,flowers,s,strd,0
crowned,crowned,c,strd,0
",",",",n,,
Prescribing,prescribing,s,,
laws,laws,s,strd,0
and,and,s,,
limits,limits,s,,
to,to,s,considrd,0
his,his,s,considrd,0
streams,streams,c,,
",",",",n,,
