token,tokenToMatch,endReason,tag,tagIndex
NOble,noble,s,,
Patricians,patricians,c,,
",",",",s,,
Patrons,patrons,s,,
of,of,s,considrd,0
my,my,s,considrd,0
right,right,c,,
",",",",n,,
Defend,defend,s,,
the,the,s,considrd,0
justice,justice,s,strd,0
of,of,s,considrd,0
my,my,s,considrd,0
Cause,cause,s,,
with,with,s,considrd,0
Arms,arms,c,strd,0
.,.,n,,
And,and,s,,
Contrymen,contrymen,c,strd,0
",",",",s,,
my,my,s,considrd,0
loving,loving,s,strd,0
Followers,followers,c,,
",",",",n,,
Plead,plead,s,strd,0
my,my,s,considrd,0
Successiue,successiue,s,,
Title,title,s,,
with,with,s,considrd,0
your,your,s,,
Swords,swords,c,,
.,.,n,,
I,i,s,considrd,0
was,was,s,,
the,the,s,considrd,0
firstborn,firstborn,s,strd,0
Son,son,c,strd,0
",",",",s,,
that,that,s,considrd,0
was,was,s,,
the,the,s,considrd,0
last,last,n,,
That,that,s,considrd,0
wore,wore,s,,
the,the,s,considrd,0
Imperial,imperial,s,strd,0
Diadem,diadem,s,,
of,of,s,considrd,0
Rome,rome,c,,
:,:,n,,
Then,then,s,,
let,let,s,,
my,my,s,considrd,0
Fathers,fathers,s,,
Honors,honors,s,strd,0
live,live,s,strd,0
in,in,s,considrd,0
me,me,c,,
",",",",n,,
Nor,nor,s,,
wrong,wrong,s,,
mine,mine,s,,
Age,age,s,,
with,with,s,considrd,0
this,this,s,considrd,0
indignity,indignity,c,strd,0
.,.,nn,,
Romans,romans,c,strd,0
",",",",s,,
Friends,friends,c,,
",",",",s,,
Followers,followers,c,,
",",",",n,,
Favorers,favorers,s,strd,0
of,of,s,considrd,0
my,my,s,considrd,0
Right,right,c,,
:,:,n,,
If,if,s,,
ever,ever,s,strd,0
Bassianus,bassianus,c,,
",",",",s,,
Caesar's,caesar's,s,strd,0
Son,son,c,strd,0
",",",",n,,
Were,were,s,,
gracious,gracious,s,,
in,in,s,considrd,0
the,the,s,considrd,0
eyes,eyes,s,,
of,of,s,considrd,0
Royal,royal,s,strd,0
Rome,rome,c,,
",",",",n,,
Keep,keep,s,strd,0
then,then,s,,
this,this,s,considrd,0
passage,passage,s,,
to,to,s,considrd,0
the,the,s,considrd,0
Capitol,capitol,c,strd,0
:,:,n,,
And,and,s,,
suffer,suffer,s,,
not,not,s,,
Dishonor,dishonor,s,strd,0
to,to,s,considrd,0
approach,approach,n,,
The,the,s,strd,0
Imperial,imperial,s,strd,0
Seat,seat,s,strd,0
to,to,s,considrd,0
Virtue,virtue,c,strd,0
:,:,s,,
consecrate,consecrate,n,,
