token,tokenToMatch,endReason,tag,tagIndex
I,i,s,considrd,0
Sister,sister,s,strd,0
of,of,s,considrd,0
the,the,s,considrd,0
Thunderer,thunderer,c,,
",",",",n,,
(,(,c,,
for,for,s,considrd,0
now,now,s,,
that,that,s,considrd,0
name,name,s,,
alone,alone,n,,
Remaynes,remaynes,s,,
to,to,s,considrd,0
me,me,c,,
),),s,,
Jove,jove,s,strd,0
evermore,evermore,n,strd,0
as,as,s,considrd,0
though,though,s,,
deuorst,deuorst,s,,
and,and,s,,
gone,gone,c,,
",",",",n,,
And,and,s,,
temples,temples,s,,
of,of,s,considrd,0
the,the,s,considrd,0
highest,highest,s,,
air,air,n,strd,0
as,as,s,considrd,0
wydowe,wydowe,s,,
shunned,shunned,s,,
have,have,c,strd,0
",",",",n,,
And,and,s,,
beaten,beaten,s,,
out,out,s,,
of,of,s,considrd,0
skies,skies,s,strd,0
above,above,n,strd,0
the,the,s,considrd,0
place,place,s,,
to,to,s,considrd,0
Harlots,harlots,s,,
gave,gave,c,strd,0
.,.,n,,
I,i,s,considrd,0
must,must,s,,
go,go,s,,
dwell,dwell,s,,
beneath,beneath,s,,
on,on,s,,
ground,ground,c,,
",",",",s,,
for,for,s,considrd,0
Whoores,whoores,s,,
do,do,s,,
hold,hold,s,,
the,the,s,considrd,0
sky,sky,c,,
.,.,n,,
From,from,s,,
hence,hence,s,,
the,the,s,considrd,0
Bear,bear,s,strd,0
in,in,s,considrd,0
part,part,s,strd,0
above,above,s,strd,0
of,of,s,considrd,0
ycy,ycy,s,,
peale,peale,s,,
full,full,s,,
hy,hy,c,,
",",",",n,,
A,a,s,considrd,0
haughty,haughty,s,,
star,star,s,strd,0
the,the,s,considrd,0
greekish,greekish,s,,
shyps,shyps,s,,
by,by,s,considrd,0
Seas,seas,s,,
does,does,s,strd,0
gurde,gurde,s,,
about,about,c,,
:,:,n,,
From,from,s,,
this,this,s,considrd,0
way,way,c,,
",",",",s,,
whence,whence,s,,
at,at,s,considrd,0
spring,spring,s,,
time,time,s,,
warm,warm,s,strd,0
the,the,s,considrd,0
day,day,s,,
is,is,s,considrd,0
loased,loased,s,,
out,out,c,,
",",",",n,,
Euro^aes,euro^aes,s,,
bearer,bearer,s,,
through,through,s,,
the,the,s,considrd,0
waves,waves,s,strd,0
of,of,s,considrd,0
Tyria,tyria,s,,
shyues,shyues,s,,
full,full,s,,
bright,bright,c,,
.,.,n,,
From,from,s,,
thence,thence,c,,
",",",",s,,
their,their,s,considrd,0
stormy,stormy,s,,
fearful,fearful,s,strd,0
flock,flock,s,strd,0
to,to,s,considrd,0
Ships,ships,c,,
",",",",s,,
and,and,s,,
seas,seas,s,,
affright,affright,c,,
",",",",n,,
The,the,s,considrd,0
wandering,wandering,s,strd,0
daughters,daughters,s,,
here,here,s,,
and,and,s,,
there,there,s,considrd,0
of,of,s,considrd,0
Atlas,atlas,s,,
upward,upward,s,strd,0
sway,sway,c,,
.,.,n,,
With,with,s,considrd,0
staring,staring,s,,
bush,bush,s,,
of,of,s,considrd,0
hair,hair,s,strd,0
from,from,s,,
hens,hens,s,,
Orion,orion,s,,
Gods,gods,s,considrd,0
does,does,s,strd,0
fray,fray,c,,
:,:,n,,
And,and,s,,
Perseus,perseus,s,,
eke,eke,s,,
his,his,s,considrd,0
glitteryng,glitteryng,s,,
stars,stars,s,strd,0
of,of,s,considrd,0
golden,golden,s,,
gloss,gloss,s,strd,0
has,has,s,strd,0
here,here,c,,
.,.,n,,
From,from,s,,
hence,hence,s,,
the,the,s,considrd,0
twynnes,twynnes,s,,
of,of,s,considrd,0
Tyndars,tyndars,s,,
stock,stock,s,strd,0
do,do,s,,
shine,shine,c,,
",",",",s,,
a,a,s,considrd,0
sign,sign,s,strd,0
full,full,s,,
clear,clear,c,strd,0
:,:,n,,
And,and,s,,
at,at,s,considrd,0
whose,whose,s,,
birth,birth,s,strd,0
first,first,s,,
stood,stood,s,strd,0
the,the,s,considrd,0
ground,ground,s,strd,0
that,that,s,considrd,0
erst,erst,s,,
went,went,s,,
to,to,s,considrd,0
and,and,s,,
fro,fro,c,,
.,.,n,,
Nor,nor,s,,
only,only,s,strd,0
Bacchus,bacchus,s,,
now,now,s,,
himself,himself,c,strd,0
",",",",s,,
or,or,s,considrd,0
Bacchus,bacchus,s,,
mother,mother,s,,
lo,lo,c,,
",",",",n,,
Have,have,s,strd,0
clymd,clymd,s,,
to,to,s,considrd,0
Gods,gods,c,considrd,0
:,:,s,,
least,least,s,,
any,any,s,,
part,part,s,strd,0
should,should,s,,
from,from,s,,
rebuke,rebuke,s,,
be,be,s,considrd,0
free,free,c,,
",",",",n,,
The,the,s,considrd,0
skies,skies,s,,
the,the,s,considrd,0
Gnossian,gnossian,s,,
strumpets,strumpets,s,,
crowns,crowns,s,strd,0
do,do,s,,
bear,bear,s,strd,0
in,in,s,considrd,0
spite,spite,s,strd,0
of,of,s,considrd,0
me,me,c,strd,0
.,.,n,,
But,but,s,,
I,i,s,considrd,0
of,of,s,considrd,0
old,old,s,,
co^temptes,co^temptes,s,,
complain,complain,c,strd,0
:,:,s,,
me,me,c,,
",",",",s,,
one,one,s,,
dire,dire,c,,
",",",",s,,
fierce,fierce,c,,
",",",",s,,
and,and,s,,
shrewde,shrewde,n,,
Thebana,thebana,s,,
land,land,s,,
with,with,s,considrd,0
wicked,wicked,s,,
brood,brood,s,strd,0
of,of,s,considrd,0
Jove's,jove's,s,strd,0
base,base,s,,
daughters,daughters,s,,
strewde,strewde,c,,
",",",",n,,
How,how,s,,
often,often,s,strd,0
has,has,s,strd,0
it,it,s,,
a,a,s,considrd,0
stepdame,stepdame,s,,
made,made,c,,
?,?,s,,
though,though,s,,
up,up,s,strd,0
to,to,s,considrd,0
heaven,heaven,s,strd,0
should,should,s,,
rise,rise,c,strd,0
",",",",n,,
The,the,s,considrd,0
conqueryng,conqueryng,s,,
drabbe,drabbe,s,,
Alcmena,alcmena,s,,
now,now,c,,
",",",",s,,
and,and,s,,
hold,hold,s,,
my,my,s,considrd,0
place,place,s,,
in,in,s,considrd,0
skies,skies,c,strd,0
",",",",n,,
And,and,s,,
eke,eke,s,,
her,her,s,,
son,son,s,strd,0
to,to,s,considrd,0
promisd,promisd,s,,
stars,stars,s,strd,0
obtain,obtain,s,strd,0
the,the,s,considrd,0
worthy,worthy,s,,
way,way,c,,
",",",",n,,
At,at,s,considrd,0
birth,birth,s,strd,0
of,of,s,considrd,0
whom,whom,s,,
the,the,s,considrd,0
staying,staying,s,,
world,world,s,strd,0
so,so,s,,
long,long,s,,
deferd,deferd,s,,
the,the,s,considrd,0
day,day,c,,
",",",",n,,
And,and,s,,
Phoebus,phoebus,s,,
slow,slow,s,,
from,from,s,strd,0
morning,morning,s,,
sea,sea,s,,
began,began,s,,
to,to,s,considrd,0
glister,glister,s,,
bright,bright,c,,
",",",",n,,
Commanded,commanded,s,strd,0
long,long,s,,
in,in,s,considrd,0
the,the,s,strd,0
Ocean,ocean,s,,
waves,waves,s,strd,0
to,to,s,considrd,0
hyde,hyde,s,,
his,his,s,considrd,0
drowned,drowned,s,,
light,light,c,strd,0
.,.,n,,
Yet,yet,s,,
shall,shall,s,considrd,0
my,my,s,considrd,0
hates,hates,s,,
not,not,s,,
leave,leave,s,strd,0
them,them,s,,
so,so,c,,
",",",",s,,
a,a,s,considrd,0
wrathful,wrathful,s,,
kindled,kindled,s,,
rage,rage,n,,
His,his,s,considrd,0
mind,mind,s,strd,0
in,in,s,considrd,0
madness,madness,s,strd,0
shall,shall,s,considrd,0
stir,stir,s,strd,0
up,up,c,strd,0
",",",",s,,
and,and,s,,
ire,ire,s,strd,0
that,that,s,considrd,0
may,may,s,,
not,not,s,,
swage,swage,n,,
Shall,shall,s,considrd,0
evermore,evermore,s,strd,0
(,(,c,,
all,all,s,,
peace,peace,s,,
laid,laid,s,strd,0
down,down,c,strd,0
),),s,,
wage,wage,s,,
wars,wars,s,strd,0
eternally,eternally,c,,
.,.,n,,
What,what,s,,
wars,wars,c,strd,0
?,?,s,,
what,what,s,,
ever,ever,s,strd,0
hideous,hideous,s,,
thing,thing,s,strd,0
the,the,s,considrd,0
earth,earth,s,,
his,his,s,considrd,0
ennemy,ennemy,n,,
Begets,begets,c,,
",",",",s,,
or,or,s,considrd,0
what,what,s,,
soever,soever,s,strd,0
sea,sea,s,,
or,or,s,considrd,0
air,air,s,strd,0
has,has,s,strd,0
brought,brought,s,,
to,to,s,considrd,0
sight,sight,n,strd,0
Both,both,s,,
dreadful,dreadful,c,strd,0
",",",",s,,
dire,dire,c,,
",",",",s,,
and,and,s,,
pestilent,pestilent,c,,
",",",",s,,
of,of,s,considrd,0
cruel,cruel,s,,
fiercest,fiercest,s,,
might,might,c,,
",",",",n,,
It,it,s,strd,0
Is,is,s,strd,1
tierd,tierd,s,,
and,and,s,,
tamed,tamed,c,strd,0
:,:,s,,
he,he,s,considrd,0
passes,passes,s,strd,0
all,all,c,,
",",",",s,,
and,and,s,,
name,name,s,,
by,by,s,considrd,0
ills,ills,s,,
does,does,s,strd,0
raise,raise,c,strd,0
",",",",n,,
And,and,s,,
all,all,s,,
my,my,s,considrd,0
wrath,wrath,s,,
he,he,s,considrd,0
does,does,s,strd,0
enjoy,enjoy,c,strd,0
",",",",s,,
and,and,s,,
to,to,s,considrd,0
his,his,s,considrd,0
greater,greater,s,,
praise,praise,n,strd,0
He,he,s,considrd,0
turns,turns,s,strd,0
my,my,s,considrd,0
hates,hates,c,,
:,:,s,,
while,while,s,strd,0
tedious,tedious,s,,
toils,toils,s,strd,0
to,to,s,considrd,0
much,much,s,,
I,i,s,considrd,0
him,him,s,,
behest,behest,c,,
",",",",n,,
He,he,s,considrd,0
proves,proves,s,strd,0
what,what,s,,
father,father,s,,
him,him,s,,
begot,begot,c,,
:,:,s,,
both,both,s,,
thence,thence,s,,
where,where,s,,
light,light,s,,
oppressed,oppressed,n,strd,0
Has,has,s,strd,0
sea,sea,c,,
",",",",s,,
and,and,s,,
where,where,s,,
it,it,s,,
showde,showde,s,,
again,again,c,strd,0
",",",",s,,
where,where,s,,
Titan,titan,s,,
day,day,s,,
