tokenIndex,original
10,vaine
31,leaues
40,pils
42,skinne
60,tragick
61,Sceane
74,happie
77,weake
82,parte
83,pleas'd
86,wisht
90,sweare
97,blest
103,proclaime
113,Vncapable
115,waightie
127,armes
133,breastes
135,happinesse
144,vp
159,knowe
168,amaine
173,showes
186,Nail'd
191,griefe
196,Pierc't
213,heate
228,straines
232,vp
246,keepe
254,vnused
257,stile
263,waigh
266,iudicious
270,heere's
271,heere's
275,doth
282,Sceanes
286,inuention
290,fauour
292,giue
303,binde
305,trunke
306,Vnto
313,tis
314,tis
320,al the
321,al the
332,sleepe
341,ayre
345,moues
346,vpon
352,Saue
362,Saue
380,houres
387,mischiefe
389,haue
393,vp
401,vp
413,tis
414,tis
415,firmely
416,saide
419,sleepes
424,braine
425,hath
439,baite
440,vpon
449,mischiefe
459,reuenge
470,giue
471,lowde
482,hart
484,rais'd
485,Vnto
489,vpon
495,tis
496,tis
508,Vnto
513,heire
518,Ladie
522,honours
530,cropt
556,reuenge
557,vpon
568,tis
569,tis
576,Giue
577,lowde
581,hypocrisie
586,valour
587,euen
588,dazled
592,offring
594,owne
595,heade
597,publick
604,Speake
625,Vnseasoned
635,Senselesse
641,stroake
647,speach
655,Goe
663,ile
664,ile
668,speach
676,twas
677,twas
681,splene
688,growne
690,slaue
694,obserue
696,euils
699,villaines
701,inforc't
705,diuels
709,sweete
714,giue
716,Stroake
719,heade
722,speach
724,Goe
729,calme
731,storme
734,euer
743,firme
754,heate
757,puffe
759,Giue
762,eares
765,infamie
766,Presse
767,downe
769,honour
772,euen
780,prowesse
781,bloom'd
787,tane
798,auoyde
800,giue
803,graunt
804,Vnto
808,loue
813,didst
815,euer
819,Iudas
820,kisse
825,couert
834,hauing
835,clipt
838,pretence
840,loue
842,Haue
845,crusht
849,cruell
858,didst
861,heare
864,reade
869,happie
872,vnsuspected
880,poyson
888,selfe
890,vnto
899,vnitie
904,worke
908,husht
916,sodaine
919,faire
920,showe
926,excessiue
927,ioy
933,choake
940,is't
941,is't
948,waigh
961,hart
976,mischiefe
984,is't
985,is't
988,equall'd
989,thinkst
996,eate
1008,is't
1009,is't
1027,lumpe
1029,Canst
1032,hony
1036,speach
1039,euen
1043,villany
1050,owne
1053,reuenge
1060,periur'd
1062,reuenge
1068,dreame
1069,tis
1070,tis
1072,reuenge
1077,turne
1080,bridall
1081,morne
1082,Vnto
1097,haue
1108,bosome
1111,haue
1120,priuate
1126,Dutchesse
1149,hath
1150,receiu'd
1152,newes
1161,Poore
1162,Ladie
1165,finde
1166,poore
1168,in't
1169,in't
1177,ioy
1180,heauen
1183,thinke
1199,boundlesse
1200,happie
1202,Doth
1208,warme
1212,ile
1213,ile
1214,marrie
1217,Looke
1225,Poyson
1248,sleepe
1259,morne
1261,vp
1267,siluer
1275,skye
1284,morne
1308,giue
1310,leaue
1317,intreats
1318,beseeme
1325,vs
1344,poore
1347,appeare
1355,maiestie
1358,vp
1386,assur'd
1390,reconcil'd
1395,honour
1397,faire
1401,heauen
1405,harbour
1421,armes
1424,necke
1430,growne
1437,glasse
1440,sorrowes
1448,griefe
1449,seeme
1450,faire
1453,tis
1454,tis
1463,Princesse
1467,feare
1469,Keepe
1480,vnited
1499,drinke
1508,Vnto
1509,eache
1514,sonne
1515,assur'd
1517,beautious
1523,clear'd
1525,threatning
1535,thinke
1537,fiue
1549,haue
1550,disturb'd
1556,dreame
1563,euen
1564,comming
1567,lawe
1570,Iesu
1572,twas
1573,twas
1574,comming
1579,ile
1580,ile
1589,maried
1592,mee
1603,mee
1606,mee
1615,Fidlers
1618,vp
1628,euen
1636,mee
1642,euen
1654,neuer
1655,haue
1658,dreame
1660,vpon
1661,mee
1683,tooke
1686,vp
1691,priuate
1694,soile
1696,griefe
1700,cheeke
1705,lustre
1706,Cloath'd
1710,'fore
1712,sawe
1719,'mong
1729,deare
1734,knowes
1745,haires
1765,wiues
1767,faithfull
1778,Vertue
1779,doth
1789,vanitie
1794,forceth
1797,Whilest
1801,lookes
1808,faire
1815,loues
1821,cheeke
1823,louers
1837,seeme
1838,faire
1847,striue
1855,Follie
1857,iudge
1859,faire
1861,wisdome
1866,harke
1869,musique
1873,ayre
1876,thinke
1879,vp
1891,chalenge
1892,griefe
1896,ioyes
1899,Looke
1902,tis
1903,tis
1904,cleare
1907,DARKNESSE
1911,looke
1915,hath
1916,drawne
1918,siluer
1936,faire
1944,what's
1945,what's
1952,diuell
1959,passe
1964,mortall
1965,stocke
1971,diuell
1973,prooue
1976,Vnto
1983,diuel
2004,ioyes
2006,loue
2010,dost
2016,doth
2017,looke
2023,rosted
2038,iust
2039,colour
2043,tel
2045,foole
2052,iest
2059,doe
2061,ieast
2064,speake
2113,nail'd
2114,vp
2119,scorne
2124,ieast
2127,foole
2143,looke
2150,sadde
2166,hee
2168,bee
2169,merrie
2187,ile
2188,ile
2193,ile
2194,ile
2195,beare
2196,soone
2201,shielde
2205,deuice
2213,doe
2228,yee
2229,liue
2243,ile
2244,ile
2245,carrie
2248,deuice
2257,vp
2266,legge
2281,wil't
2282,wil't
2284,bee
2291,Blowe
2303,heauie
2307,iuyce
2326,dreames
2333,swallow'd
2336,gulfe
2338,rauenous
2356,seem'd
2374,assum'd
2381,Reuenge
2387,ioynts
2391,ouer
2396,sweate
2419,forc't
2426,loe
2443,soule
2448,heauen
2457,vpper
2474,threatning
2475,traine
2476,Iust
2486,bow'd
2492,pierc't
2494,starre
2517,doubl'd
2527,Verely
2541,mee
2547,asleepe
2557,vp
2559,abhominable
2568,vgly
2576,euen
2586,euen
2591,whil'st
2606,fearefulnesse
2613,readie
2617,fortresse
2623,vp
2628,cleane
2631,eate
2633,messe
2660,braine
2666,thaw'd
2673,flowe
2688,soule
2716,thats
2722,feare
2729,slaues
2731,Hee
2733,obserues
2743,neuer
2753,there's
2754,there's
2764,feare
2776,mixe
2787,ayres
2798,surfet
2801,sleepe
2809,meanes
2813,vnmooued
2814,calme
2818,winde
2828,sleepe
2839,vp
2853,sonnes
2861,cals
2867,Sweete
2868,sonne
2870,Deare
2873,Faire
2874,honour
2877,chast
2879,loyall
2884,beautie
2889,loue
2901,Felicitie
2902,compleat
2904,sweete
2915,poore
2916,banisht
2920,powre
2921,vpon
2923,heade
2927,sonne
2929,Liue
2931,gratious
2940,Lou'd
2948,hower
2970,deare
2972,deare
2973,ioy
2980,kist
2986,tooke
2988,treasur'd
2998,arriue
3003,firme
3004,attonement
3012,vnited
3013,loue
3020,lou'd
3024,sworne
3030,leagu'd
3035,loue
3039,arriue
3040,euen
3049,sun-shine
3050,happinesse
3052,Harke
3059,vp
3068,ayre
3074,vp
3078,loue
3084,ope
3095,entertaine
3096,th'impression
3097,th'impression
3100,obiect
3108,poore
3112,leaue
3116,tel
3128,canst
3130,forme
3142,beautie
3145,appeares
3149,looke
3152,curtaine
3159,Loues
3160,vitall
3163,deare
3168,villaine
3174,loue
3177,slaue
3178,hath
3182,ensigne
3183,vp
3189,humanitie
3193,faire
3194,vnspotted
3195,puritie
3200,windowe
3207,cals
3209,VVHO
3210,giues
3215,chast
3217,vnspotted
3227,lowde
3231,shee's
3232,shee's
3233,vnchast
3239,blacke
3242,soule
3252,eate
3255,vp
3259,hast
3261,gainst
3266,quicklie
3267,downe
3274,vp
3294,furie
3298,ile
3299,ile
3302,loue
3307,haue
3310,sonne
3312,Looke
3318,vpon
3320,steele
3329,Haue
3343,Thinke
3348,bloode
3355,ile
3356,ile
3359,honour
3363,sawe
3367,slaue
3391,sleepe
3394,lawe
3402,vlcer
3405,roiall
3406,bloode
3408,Keepe
3413,gratious
3414,Soueraigne
3419,sparkes
3428,rak't
3429,vp
3432,beastlinesse
3435,bulke
3439,darke
3451,trunke
3454,liues
3458,keepe
3460,withall
3472,eue
3482,firmely
3488,euen
3491,sensualitie
3494,heauen
3497,heauen
3502,neare
3508,liuer
3520,shal
3522,hurle
3524,griefe
3532,tis
3533,tis
3542,giue
3545,boundlesse
3559,cleaue
3562,keene
3564,newes
3584,weepe
3588,faine
3603,sodaine
3604,ioyes
3611,that's
3612,that's
3613,natiue
3614,heate
3617,flow'd
3631,surpriz'd
3634,colde
3644,dismall
3646,Choake
3655,liue
3670,cheerefull
3671,Princesse
3677,Ladie's
