tokenIndex,original
0,BAnisht
3,greeu'd
7,heare
20,gouerne
37,giue
41,deales
44,smal
58,tis
59,tis
61,haue
73,seemes
80,shees
81,shees
85,terme
92,ranke
110,peeces
120,iustly
123,looke
127,backe
134,haue
137,yeares
138,Ruin'd
144,Haue
152,sicke
155,vnnaturall
158,Phisicke
161,vp
170,haue
177,Cittizen
183,faire
186,cald
197,inuited
200,prodigall
201,feastes
203,Wherin
208,scape
225,drawne
230,bee
231,soone
234,aire
236,Ieast
237,vpon
250,haue
251,ruin'd
253,faire
270,powring
280,haue
283,certaine
301,tooke
313,doth
314,somtimes
317,thinkes
321,euer
323,steepe
325,sinnes
331,pennance
360,ther's
361,ther's
372,liues
380,seekes
384,honour
394,haue
400,kisse
405,Haue
412,Wee
416,beare
420,fruite
439,chaf'd
451,Expresseth
452,vertue
457,trew
460,ells
463,Leaue
468,ile
469,ile
477,euer
479,returne
489,haue
490,seene
496,Giue
498,lookes
504,growne
508,knaue
516,thanke
524,mercifull
529,quicklie
535,Wee
543,repeale
549,euer
558,almes
562,vse
576,peeces
581,haue
582,shorne
595,Vnto
635,seruice
642,faire
649,giue
662,tis
663,tis
676,wee
680,Can't
684,Obseru'd
690,honor'd
698,shee
704,haue
709,chamber-maid
729,Wee
731,happie
732,aboue
737,merrit
739,'boue
740,merrit
742,wee
745,talke
748,'boue
749,merrit
752,ist
753,ist
758,coynesse
760,thats
768,haue
773,Ladyes
776,heare
778,nam'd
784,feare
798,increas'd
801,difficultie
814,drowsie
843,iealous
852,hath
854,braynes
855,perisht
864,liuer
875,hath
877,haires
892,himselfe
899,downeward
922,backe
924,shrunke
928,Shrowd
939,tricke
953,faire
954,bed-fellow
959,faile
966,haue
970,vnwisely
975,selfe
976,haue
977,loued
986,deale
1000,haue
1001,enioyed
1006,harts
1007,haue
1011,haue
1015,tis
1016,tis
1017,iust
1032,despaire
1043,despaire
1050,feare
1053,neuer
1070,apparell
1074,iudge
1090,Asse
1093,cloath
1099,trauailing
1115,lyes
1121,farre
1146,Wee
1147,neuer
1151,eare
1157,betweene
1158,vs
1161,byn
1165,haue
1167,vp
1171,Trew
1174,shee
1179,seene
1180,in't
1181,in't
1186,what's
1187,what's
1194,maister
1198,thanke
1203,perceaue
1209,Hee
1218,haue
1221,runne
1227,thinke
1232,bootie
1236,cheeke
1237,Hath
1245,faine
1249,mistris
1255,asse
1257,Despight
1268,shewes
1270,vnder
1320,pittifull
1322,Stuft
1333,aduise
1337,onlie
1339,Weare
1341,locke
1342,vp
1355,reuels
1373,heeles
1378,honour
1384,certayne
1389,Despight
1395,bee
1402,suspence
1407,counsell
1410,aske
1413,for't
1414,for't
1424,mee
1426,Weare
1435,eares
1451,barre
1461,willinglie
1464,gloriouslie
1465,chast
1471,restrayned
1474,libertie
1477,seemes
1485,iealous
1493,owne
1494,hornes
1497,Iacobs
1498,staffe
1499,afore
1502,vp
1506,inclosures
1523,haue
1524,vttered
1525,sence
1529,doth
1531,phisicke
1535,seemes
1538,Iealous
1540,ile
1541,ile
1542,shew
1554,haue
1555,seene
1557,paire
1568,downe
1571,twelue
1575,appeare
1585,weare
1587,paire
1598,shooe
1607,vp
1610,wiues
1631,eye-sight
1637,haue
1642,thinke
1644,obiects
1646,looke
1649,bee
1669,Bason
1674,seuerall
1682,owne
1702,carued
1710,haue
1711,carued
1744,slaue
1749,yeares
1753,blacke
1758,cariage
1759,mongst
1772,scholler
1776,hath
1779,fild
1781,calues
1782,braynes
1803,hath
1812,fier
1815,glasse
1817,hath
1822,seauen
1823,yeares
1826,hee
1835,weares
1837,sattin
1844,blacke
1859,Foile
1862,confesse
1885,mee
1895,shalt
1906,to't
1907,to't
1930,vertuous
1938,giue
1948,Indeede
1955,shalt
1956,lye
1960,stuft
1982,happinesse
1989,thinke
1994,shippes
2003,heauen
2007,seeme
2014,meete
2017,tis
2018,tis
2019,fixt
2022,nayles
2026,ineuitable
2027,necessitie
2039,tayle
2044,presentlie
2047,haue
2057,comming
2062,aduise
2071,lye
2077,crosse
2093,shew
2097,supremacie
2099,Iudgement
2101,Trew
2115,grat
2130,keepe
2135,philosophicall
2138,Walke
2143,mans
2151,lye
2165,induc'd
2181,lye
2189,vseth
2192,euery
2211,youle
2212,youle
2215,faire
2219,to't
2220,to't
2225,heare
2228,haue
2230,steale
2239,thinke
2243,looke
2251,thinke
2252,ile
2253,ile
2261,locke
2275,introth
2276,introth
2280,ile
2281,ile
2288,haue
2293,dore
2297,on't
2298,on't
2306,mee
2311,shee
2314,vnkind
2319,Didst
2324,ieast
2335,vse
2337,tricke
2358,selfe
2361,owne
2362,worke
2369,darkenesse
2377,curst
2378,dogges
2380,ciuilitie
2381,keepes
2383,tyed
2403,mischeefe
2410,Giue
2421,neuer
2426,hower
2431,doth
2433,selfe
2441,bosome
2443,Ladie
2445,Powre
2452,vowes
2467,eternallie
2474,pittie
2484,Phisition
2490,crueltie
2492,Ladyes
2498,funeralls
2509,Wee
2512,cruell
2513,fayre
2522,mercifull
2530,happie
2531,vnion
2534,feares
2536,falne
2537,vpon
2545,sonne
2556,ruine
2558,Earth-quakes
2559,leaue
2564,haue
2578,ruine
2581,leaues
2584,valew
2587,Iewell
2588,tis
2589,tis
2594,weake
2599,ile
2600,ile
2601,haue
2610,Iewell
2613,Iewell
2618,Iewell
2621,Iewell
2633,weare
2636,Heare
2644,weare
2646,Iewell
2649,that's
2650,that's
2654,weare
2656,Iewell
2660,passe
2664,i'le
2665,i'le
2671,dreame
2683,dreame
2688,walkt
2697,Church-yard
2704,Spred
2707,roote
2711,vnder
2722,graue
2733,Dutchesse
2745,th'other
2746,th'other
2754,termes
2756,gan
2769,harmelesse
2776,entent
2780,vp
2787,i'th
2788,i'th
2800,vow'd
2804,aliue
2811,gan
2818,Dutchesse
2854,diuell
2858,dreame
2876,arme
2885,strucke
2895,graue
2902,Diuell
2904,Shee
2905,hath
2910,dreame
2915,Dutchesse
2926,dreame
2933,armes
2945,iealous
2950,poore
2951,enuy
2955,Dutchesse
2957,i'le
2958,i'le
2959,seate
2961,aboue
2964,aboue
2965,scandall
2967,Giue
2972,inuention
2981,gouernment
2982,Diuide
2991,keepe
3003,Dukedome
3027,rais'd
3029,vp
3037,heare
3045,Neuer
3046,dropt
3073,faire
3078,poysoned
3079,hearbes
3085,bene
3092,witch-craft
3096,buriall
3102,Honours
3106,heare
3111,dost
3132,keepe
3133,vs
3136,teares
3142,graue
3143,leaues
3144,vs
3147,feares
3156,heare
3159,Deere
3166,Dutchesse
3176,shee
3189,Dutchesse
3193,bene
3197,liues
3203,moue
3225,haue
3229,Vnfortunate
3237,chast
3238,deniall
3244,bloud
3246,haue
3257,ioyne
3264,wofull
3268,kneel'd
3272,dishonour
3278,Bee
3285,funerall
3286,teares
3289,mens
3291,Fye
3293,fye
3296,womans
3299,Bee
3307,Maiest
3310,enuied
3317,pittied
3327,accurst
3338,ile
3339,ile
3342,backe
3343,againe
3346,i'le
3347,i'le
3358,Vncharitable
3363,Hath
3364,rais'd
3366,fearefull
3369,storme
3371,Bee
3378,harme
3387,vpon
3389,honour
3398,thinke
3413,faine
3418,masse
3423,haue
3432,beare
3438,leuell
3449,poore
3454,vitious
3458,meanes
3459,haue
3462,keepe
3466,gallies
3470,gallowes
3474,prou'd
3475,himselfe
3480,al's
3481,al's
3500,vp
3505,confesse
3513,meanes
3516,Vniuersity
3517,iudge
3521,haue
3522,bene
3523,faine
3525,heele
3531,seuen
3532,yeares
3547,seruice
3556,return'd
3564,farre
3577,Hauing
3590,retaine
3592,milke
3603,i'le
3604,i'le
3605,arme
3612,Gainst
3620,ne're
3638,bene
3644,selfe
3653,giue
3678,Complaine
3679,vnto
3683,Cardinall
3690,iustifie
3695,wondred
3699,prouide
3711,faire
3712,wiues
3722,Dutchesse
3732,Wee
3734,ingag'd
3736,mischiefe
