token,tokenToMatch,endReason,tag,tagIndex
Generous,generous,s,,
Gentlemen,gentlemen,c,,
",",",",nn,,
SVch,svch,s,,
is,is,s,considrd,0
my,my,s,considrd,0
affection,affection,s,,
to,to,s,considrd,0
Phoebus,phoebus,c,,
",",",",s,,
and,and,s,,
the,the,s,considrd,0
ninety,ninety,s,,
nine,nine,s,,
Mu^es,mu^es,c,,
",",",",s,,
that,that,s,considrd,0
for,for,s,considrd,0
the,the,n,considrd,0
benefit,benefit,s,,
of,of,s,considrd,0
this,this,s,considrd,0
royal,royal,s,strd,0
University,university,c,strd,0
",",",",s,,
I,i,s,considrd,0
have,have,s,strd,0
strodled,strodled,s,,
over,over,s,strd,0
three,three,s,,
of,of,s,considrd,0
the,the,n,considrd,0
terrestrial,terrestrial,s,strd,0
globes,globes,s,,
with,with,s,considrd,0
my,my,s,considrd,0
Geometrical,geometrical,s,strd,0
rambling,rambling,c,,
",",",",s,,
vid^licet,vid^licet,c,,
",",",",s,,
the,the,s,considrd,0
Asia,asia,s,,
of,of,s,considrd,0
the,the,n,considrd,0
Dolphin,dolphin,c,,
",",",",s,,
the,the,s,considrd,0
Afrique,afrique,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Rose,rose,c,considrd,0
",",",",s,,
the,the,s,considrd,0
America,america,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Mitre,mitre,c,,
",",",",s,,
besides,besides,s,,
the,the,s,considrd,0
terra,terra,n,,
incognita,incognita,c,,
",",",",s,,
of,of,s,considrd,0
many,many,s,,
an,an,s,,
Alehouse,alehouse,c,strd,0
.,.,s,,
And,and,s,,
all,all,s,,
for,for,s,considrd,0
your,your,s,,
sakes,sakes,c,,
",",",",s,,
whom,whom,s,,
I,i,s,considrd,0
know,know,s,,
to,to,s,considrd,0
be,be,s,considrd,0
the,the,n,considrd,0
divine,divine,s,strd,0
brats,brats,s,,
of,of,s,considrd,0
Helicon,helicon,c,,
",",",",s,,
the,the,s,considrd,0
lawful,lawful,s,strd,0
begotten,begotten,s,,
bastards,bastards,s,,
of,of,s,considrd,0
the,the,s,considrd,0
thrice,thrice,s,,
three,three,n,,
sisters,sisters,c,,
",",",",s,,
the,the,s,considrd,0
learned,learned,c,,
",",",",s,,
filly-foales,filly-foales,s,,
to,to,s,considrd,0
Mounsier,mounsier,s,,
Pegasus,pegasus,c,,
",",",",s,,
Archhackney,archhackney,s,,
to,to,s,considrd,0
the,the,n,considrd,0
students,students,s,,
of,of,s,considrd,0
Parnassus,parnassus,c,,
:,:,s,,
Therefore,therefore,s,,
I,i,s,considrd,0
charge,charge,s,,
you,you,s,considrd,0
by,by,s,considrd,0
the,the,s,considrd,0
seven,seven,s,strd,0
deadly,deadly,s,,
Sciences,sciences,c,,
",",",",n,,
which,which,s,considrd,0
you,you,s,considrd,0
more,more,s,,
study,study,s,,
than,than,s,,
the,the,s,considrd,0
three,three,s,,
and,and,s,,
four,four,s,strd,0
liberal,liberal,s,strd,0
sins,sins,c,strd,0
",",",",s,,
that,that,s,considrd,0
your,your,s,,
ha,ha,c,,
",",",",n,,
ha,ha,c,,
",",",",s,,
he,he,s,strd,0
is,is,s,strd,1
may,may,s,,
be,be,s,considrd,0
recompense,recompense,s,strd,0
of,of,s,considrd,0
my,my,s,considrd,0
ridiculous,ridiculous,s,,
endeauours,endeauours,nn,,
I,i,s,considrd,0
have,have,s,strd,0
been,been,s,strd,0
long,long,s,,
in,in,s,considrd,0
travel,travel,c,strd,0
",",",",s,,
but,but,s,,
if,if,s,,
your,your,s,,
laughter,laughter,s,,
give,give,s,strd,0
my,my,s,considrd,0
Embryon,embryon,s,,
jests,jests,s,strd,0
but,but,n,,
safe,safe,s,,
deliverance,deliverance,c,strd,0
",",",",s,,
I,i,s,considrd,0
dare,dare,s,,
maintain,maintain,s,strd,0
it,it,s,,
in,in,s,considrd,0
the,the,s,considrd,0
throat,throat,s,,
of,of,s,considrd,0
Europ,europ,c,,
",",",",s,,
Iero^imo,iero^imo,s,,
rising,rising,n,,
from,from,s,,
his,his,s,considrd,0
naked,naked,s,,
bed,bed,c,,
",",",",s,,
was,was,s,,
not,not,s,,
so,so,s,,
good,good,s,,
a,a,s,considrd,0
Midwife,midwife,nn,,
But,but,s,,
I,i,s,considrd,0
see,see,s,,
you,you,s,considrd,0
have,have,s,strd,0
a,a,s,considrd,0
great,great,s,considrd,0
desire,desire,s,,
to,to,s,considrd,0
know,know,s,,
what,what,s,,
profession,profession,s,,
I,i,s,considrd,0
am,am,s,,
of,of,c,considrd,0
:,:,s,,
first,first,c,,
",",",",n,,
therefore,therefore,s,,
hear,hear,s,strd,0
what,what,s,,
I,i,s,considrd,0
am,am,s,,
not,not,c,,
.,.,s,,
I,i,s,considrd,0
am,am,s,,
not,not,s,,
a,a,s,considrd,0
Lawyer,lawyer,c,,
",",",",s,,
for,for,s,considrd,0
I,i,s,considrd,0
hope,hope,s,,
you,you,s,considrd,0
see,see,s,,
no,no,s,considrd,0
Buckram,buckram,n,,
honesty,honesty,s,,
about,about,s,,
me,me,c,,
",",",",s,,
and,and,s,,
I,i,s,considrd,0
swear,swear,s,strd,0
by,by,s,considrd,0
these,these,s,,
sweet,sweet,s,,
lips,lips,c,,
",",",",s,,
my,my,s,considrd,0
breath,breath,s,,
stinks,stinks,s,,
not,not,s,,
of,of,s,considrd,0
any,any,n,,
State,state,s,,
actions,actions,c,,
:,:,s,,
I,i,s,considrd,0
am,am,s,,
no,no,s,considrd,0
soldier,soldier,c,strd,0
",",",",s,,
although,although,s,,
my,my,s,considrd,0
heels,heels,s,strd,0
be,be,s,considrd,0
better,better,s,,
than,than,s,,
my,my,s,considrd,0
hands,hands,c,,
:,:,s,,
by,by,n,considrd,0
the,the,s,considrd,0
whips,whips,s,,
of,of,s,considrd,0
Mars,mars,s,,
and,and,s,,
Bellona,bellona,c,,
",",",",s,,
I,i,s,considrd,0
could,could,s,,
never,never,s,strd,0
endure,endure,s,,
the,the,s,considrd,0
smell,smell,s,,
