token,tokenToMatch,endReason,tag,tagIndex
NOw,now,s,,
is,is,s,considrd,0
the,the,s,considrd,0
Winter,winter,s,,
of,of,s,considrd,0
our,our,s,,
Discontent,discontent,c,,
",",",",n,,
Made,made,s,,
glorious,glorious,s,,
Summer,summer,s,,
by,by,s,considrd,0
this,this,s,considrd,0
Son,son,s,,
of,of,s,considrd,0
York,york,c,strd,0
:,:,n,,
And,and,s,,
all,all,s,,
the,the,s,considrd,0
clouds,clouds,s,,
that,that,s,considrd,0
lowr'd,lowr'd,s,,
upon,upon,s,strd,0
our,our,s,,
house,house,n,,
In,in,s,considrd,0
the,the,s,considrd,0
deep,deep,s,strd,0
bosom,bosom,s,strd,0
of,of,s,considrd,0
the,the,s,considrd,0
Ocean,ocean,s,,
buried,buried,c,,
.,.,n,,
Now,now,s,,
are,are,s,,
our,our,s,,
brows,brows,s,strd,0
bound,bound,s,,
with,with,s,considrd,0
Victorious,victorious,s,,
Wreathes,wreathes,c,,
",",",",n,,
Our,our,s,,
bruised,bruised,s,,
arms,arms,s,strd,0
hung,hung,s,,
up,up,s,strd,0
for,for,s,considrd,0
Monuments,monuments,c,,
;,;,n,,
Our,our,s,,
stern,stern,s,strd,0
Alarums,alarums,s,,
changed,changed,s,strd,0
to,to,s,considrd,0
merry,merry,s,,
Meetings,meetings,c,,
;,;,n,,
Our,our,s,,
dreadful,dreadful,s,strd,0
Marches,marches,c,,
",",",",s,,
to,to,s,considrd,0
delightful,delightful,s,strd,0
Measures,measures,c,,
.,.,n,,
Grim-visag'd,grim-visag'd,s,,
War,war,c,strd,0
",",",",s,,
has,has,s,strd,0
smoothed,smoothed,s,strd,0
his,his,s,considrd,0
wrinkled,wrinkled,s,,
Front,front,c,,
:,:,n,,
And,and,s,,
now,now,c,,
",",",",s,,
in,in,s,considrd,0
stead,stead,s,,
of,of,s,considrd,0
mounting,mounting,s,,
Barbed,barbed,s,,
Steeds,steeds,c,,
",",",",n,,
To,to,s,considrd,0
fright,fright,s,,
the,the,s,considrd,0
Souls,souls,s,strd,0
of,of,s,considrd,0
fearful,fearful,s,strd,0
Adversaries,adversaries,c,strd,0
",",",",n,,
He,he,s,considrd,0
capers,capers,s,,
nimbly,nimbly,s,,
in,in,s,considrd,0
a,a,s,considrd,0
Ladies,ladies,s,,
Chamber,chamber,c,,
",",",",n,,
To,to,s,considrd,0
the,the,s,considrd,0
lascivious,lascivious,s,strd,0
pleasing,pleasing,s,,
of,of,s,considrd,0
a,a,s,considrd,0
Lute,lute,c,,
.,.,n,,
But,but,s,,
I,i,c,considrd,0
",",",",s,,
that,that,s,considrd,0
am,am,s,,
not,not,s,,
shaped,shaped,s,strd,0
for,for,s,considrd,0
sportiue,sportiue,s,,
tricks,tricks,c,strd,0
",",",",n,,
Nor,nor,s,,
made,made,s,,
to,to,s,considrd,0
court,court,s,,
an,an,s,,
amorous,amorous,s,,
Looking-glass,looking-glass,c,strd,0
:,:,n,,
I,i,c,considrd,0
",",",",s,,
that,that,s,considrd,0
am,am,s,,
Rudely,rudely,s,,
stamped,stamped,c,strd,0
",",",",s,,
and,and,s,,
want,want,s,,
loves,loves,s,strd,0
Majesty,majesty,c,strd,0
",",",",n,,
To,to,s,considrd,0
strut,strut,s,,
before,before,s,,
a,a,s,considrd,0
wonton,wonton,s,,
ambling,ambling,s,,
Nymph,nymph,c,,
:,:,n,,
I,i,c,considrd,0
",",",",s,,
that,that,s,considrd,0
am,am,s,,
curtailed,curtailed,s,strd,0
of,of,s,considrd,0
this,this,s,considrd,0
fair,fair,s,strd,0
Proportion,proportion,c,,
",",",",n,,
Cheated,cheated,s,,
of,of,s,considrd,0
Feature,feature,s,,
by,by,s,considrd,0
dissembling,dissembling,s,,
Nature,nature,c,,
",",",",n,,
Deformed,deformed,c,strd,0
",",",",s,,
vn-finish'd,vn-finish'd,c,,
",",",",s,,
sent,sent,s,,
before,before,s,,
my,my,s,considrd,0
time,time,n,,
Into,into,s,considrd,0
this,this,s,considrd,0
breathing,breathing,s,,
World,world,c,,
",",",",s,,
scarce,scarce,s,strd,0
half,half,s,strd,0
made,made,s,,
up,up,c,strd,0
",",",",n,,
And,and,s,,
that,that,s,considrd,0
so,so,s,,
lamely,lamely,s,,
and,and,s,,
unfashionable,unfashionable,c,strd,0
",",",",n,,
That,that,s,considrd,0
dogs,dogs,s,strd,0
bark,bark,s,strd,0
at,at,s,considrd,0
me,me,c,,
",",",",s,,
as,as,s,considrd,0
I,i,s,considrd,0
halt,halt,s,,
by,by,s,considrd,0
them,them,c,,
.,.,n,,
Why,why,s,,
I,i,s,considrd,0
(,(,c,,
in,in,s,considrd,0
this,this,s,considrd,0
weak,weak,s,strd,0
piping,piping,s,,
time,time,s,,
of,of,s,considrd,0
Peace,peace,c,,
),),n,,
Have,have,s,strd,0
no,no,s,considrd,0
delight,delight,s,,
to,to,s,considrd,0
pass,pass,s,strd,0
away,away,s,,
the,the,s,considrd,0
time,time,c,,
",",",",n,,
Unless,unless,s,strd,0
to,to,s,considrd,0
see,see,s,,
my,my,s,considrd,0
Shadow,shadow,s,,
in,in,s,considrd,0
the,the,s,considrd,0
