token,tokenToMatch,endReason,tag,tagIndex
friends,friends,s,,
may,may,s,,
not,not,s,,
be,be,s,considrd,0
borne,borne,c,,
",",",",n,,
Believe,believe,s,strd,0
me,me,s,,
Lelio,lelio,s,,
thou,thou,s,considrd,0
deseruest,deseruest,s,,
the,the,s,considrd,0
horn,horn,c,strd,0
",",",",n,,
Come,come,s,,
sir,sir,c,,
",",",",s,,
for,for,s,considrd,0
kindness,kindness,s,strd,0
I,i,s,considrd,0
will,will,s,,
let,let,s,,
you,you,s,considrd,0
blood,blood,c,strd,0
",",",",n,,
And,and,s,,
seek,seek,s,strd,0
to,to,s,considrd,0
cool,cool,s,strd,0
your,your,s,,
fire,fire,s,considrd,0
of,of,s,considrd,0
jealousy,jealousy,c,strd,0
.,.,nn,,
And,and,s,,
I,i,s,strd,0
Will,will,s,strd,1
revenge,revenge,s,strd,0
my,my,s,considrd,0
mortal,mortal,s,strd,0
injury,injury,c,strd,0
",",",",n,,
Now,now,s,,
is,is,s,considrd,0
his,his,s,considrd,0
lustful,lustful,s,strd,0
insolence,insolence,c,,
",",",",n,,
Drowned,drowned,s,strd,0
in,in,s,considrd,0
the,the,s,considrd,0
sea,sea,s,,
of,of,s,considrd,0
bloody,bloody,s,strd,0
tragedy,tragedy,c,strd,0
",",",",n,,
How,how,s,,
now,now,s,,
Sempronio,sempronio,c,,
?,?,nn,,
Fly,fly,s,strd,0
Lelio,lelio,c,,
",",",",s,,
fly,fly,c,strd,0
",",",",s,,
thy,thy,s,considrd,0
jealous,jealous,s,strd,0
fury,fury,s,strd,0
robs,robs,s,,
thee,thee,s,,
of,of,s,considrd,0
a,a,s,considrd,0
friend,friend,c,,
",",",",n,,
I,i,s,considrd,0
pay,pay,s,strd,0
thee,thee,s,,
with,with,s,considrd,0
my,my,s,considrd,0
blood,blood,s,strd,0
for,for,s,considrd,0
lewd,lewd,s,,
desire,desire,c,,
",",",",n,,
Go,go,s,,
hie,hie,s,,
thee,thee,s,,
hence,hence,c,,
",",",",s,,
prevent,prevent,s,strd,0
pursuit,pursuit,c,,
",",",",n,,
My,my,s,considrd,0
miseries,miseries,s,,
are,are,s,,
done,done,c,,
",",",",s,,
when,when,s,,
I,i,s,considrd,0
am,am,s,,
dead,dead,c,,
",",",",n,,
Thy,thy,s,considrd,0
miseries,miseries,s,,
are,are,s,,
too,too,s,,
near,near,c,strd,0
.,.,nn,,
Too,too,s,,
late,late,s,,
remorse,remorse,c,,
",",",",s,,
why,why,s,,
do,do,s,strd,0
thou,thou,s,considrd,0
follow,follow,s,,
me,me,c,,
?,?,n,,
Ah,ah,s,,
sweet,sweet,s,,
Sempronio,sempronio,c,,
",",",",s,,
speak,speak,s,strd,0
but,but,s,,
one,one,s,,
word,word,s,,
more,more,c,,
.,.,nn,,
I,i,s,considrd,0
speak,speak,s,,
these,these,s,,
few,few,s,,
words,words,s,strd,0
more,more,c,,
",",",",s,,
fly,fly,s,strd,0
Lelio,lelio,s,,
fly,fly,c,strd,0
",",",",n,,
Among,among,s,strd,0
friends,friends,s,,
it,it,s,,
is,is,s,considrd,0
too,too,s,,
much,much,s,,
for,for,s,considrd,0
one,one,s,,
to,to,s,considrd,0
die,die,c,,
.,.,nn,,
Murder,murder,s,,
my,my,s,considrd,0
friends,friends,c,,
",",",",s,,
pursue,pursue,s,,
the,the,s,considrd,0
murderer,murderer,c,,
",",",",n,,
Have,have,s,strd,0
Coridon,coridon,c,,
",",",",s,,
hie,hie,s,,
the,the,s,considrd,0
Antimon,antimon,c,,
.,.,nn,,
Fly,fly,s,strd,0
Lelio,lelio,s,,
fly,fly,c,strd,0
",",",",s,,
and,and,s,,
save,save,s,strd,0
thy,thy,s,considrd,0
life,life,c,,
.,.,nn,,
It,it,s,strd,0
Is,is,s,strd,1
Lelio,lelio,s,,
shepherds,shepherds,c,strd,0
",",",",s,,
have,have,s,strd,0
and,and,s,,
follow,follow,s,,
him,him,c,,
.,.,nn,,
And,and,s,,
Lelios,lelios,s,,
sword,sword,s,strd,0
has,has,s,strd,0
slain,slain,s,strd,0
Sempronio,sempronio,c,,
",",",",n,,
Pursue,pursue,s,,
you,you,s,considrd,0
shepherds,shepherds,s,strd,0
that,that,s,considrd,0
lewd,lewd,s,,
murderer,murderer,c,,
",",",",n,,
Whilst,whilst,s,strd,0
I,i,s,considrd,0
do,do,s,,
bear,bear,s,strd,0
this,this,s,considrd,0
bloody,bloody,s,strd,0
garment,garment,s,,
hence,hence,c,,
",",",",n,,
To,to,s,considrd,0
Seruio,seruio,c,,
",",",",s,,
tutor,tutor,s,,
to,to,s,considrd,0
this,this,s,considrd,0
noble,noble,s,,
man,man,c,,
",",",",n,,
And,and,s,,
give,give,s,strd,0
him,him,s,,
notice,notice,s,,
of,of,s,considrd,0
his,his,s,considrd,0
kinsmans,kinsmans,s,,
death,death,c,,
",",",",n,,
Down,down,s,strd,0
with,with,s,considrd,0
the,the,s,considrd,0
murderers,murderers,c,strd,0
",",",",s,,
fellows,fellows,s,strd,0
kill,kill,s,,
his,his,s,considrd,0
horse,horse,c,,
.,.,nn,,
What,what,s,,
noise,noise,s,,
is,is,s,considrd,0
this,this,s,considrd,0
before,before,s,,
my,my,s,considrd,0
hold,hold,s,,
of,of,s,considrd,0
peace,peace,c,,
?,?,n,,
A,a,s,considrd,0
little,little,s,,
breach,breach,s,,
of,of,s,considrd,0
peace,peace,s,,
to,to,s,considrd,0
men,men,s,,
of,of,s,considrd,0
zeal,zeal,c,strd,0
",",",",n,,
Is,is,s,considrd,0
held,held,s,,
a,a,s,considrd,0
world,world,s,,
of,of,s,considrd,0
grief,grief,s,strd,0
to,to,s,considrd,0
cross,cross,s,strd,0
his,his,s,considrd,0
mind,mind,c,strd,0
:,:,n,,
Behold,behold,s,,
a,a,s,considrd,0
young,young,s,,
man,man,s,,
weltering,weltering,s,,
in,in,s,considrd,0
his,his,s,considrd,0
blood,blood,c,strd,0
",",",",n,,
Hie,hie,s,,
thee,thee,s,,
old,old,s,strd,0
Phillip,phillip,c,,
",",",",s,,
show,show,s,strd,0
thy,thy,s,considrd,0
charity,charity,c,strd,0
",",",",n,,
Bear,bear,s,strd,0
him,him,s,,
to,to,s,considrd,0
thy,thy,s,considrd,0
cell,cell,c,,
",",",",s,,
and,and,s,,
if,if,s,,
thou,thou,s,considrd,0
can,can,c,strd,0
",",",",s,,
recure,recure,s,,
his,his,s,considrd,0
wounds,wounds,c,,
",",",",n,,
If,if,s,,
not,not,c,,
",",",",s,,
go,go,s,strd,0
bury,bury,s,strd,0
him,him,c,,
",",",",s,,
the,the,s,considrd,0
badge,badge,s,,
of,of,s,considrd,0
contemplations,contemplations,s,,
charity,charity,c,strd,0
.,.,nn,,
Ho,ho,s,,
Gnatto,gnatto,s,,
open,open,c,,
.,.,nn,,
Open,open,c,,
",",",",s,,
what,what,s,,
should,should,s,,
I,i,s,considrd,0
open,open,c,,
",",",",s,,
the,the,s,considrd,0
cupboord,cupboord,c,,
.,.,nn,,
No,no,s,considrd,0
knave,knave,s,strd,0
the,the,s,considrd,0
door,door,c,strd,0
.,.,nn,,
No,no,s,considrd,0
knave,knave,s,strd,0
the,the,s,considrd,0
door,door,c,strd,0
",",",",s,,
what,what,s,,
rascals,rascals,s,,
that,that,c,considrd,0
?,?,n,,
O,o,s,,
master,master,s,,
is,is,s,considrd,0
it,it,s,,
you,you,c,considrd,0
",",",",s,,
I,i,s,considrd,0
cry,cry,s,strd,0
you,you,s,considrd,0
mercy,mercy,c,strd,0
.,.,nn,,
Sir,sir,s,strd,0
speak,speak,c,strd,0
",",",",s,,
where,where,s,strd,0
is,is,s,strd,1
your,your,s,,
mistres,mistres,c,,
?,?,nn,,
Matie,matie,s,,
she,she,s,strd,0
is,is,s,considrd,0
making,making,s,,
wood,wood,s,,
speak,speak,c,strd,0
",",",",s,,
and,and,s,,
guts,guts,s,,
sing,sing,c,,
:,:,nn,,
Wood,wood,s,,
speak,speak,c,strd,0
",",",",s,,
and,and,s,,
guts,guts,s,,
sing,sing,c,,
",",",",s,,
how,how,s,,
meanst,meanst,s,,
thou,thou,s,considrd,0
that,that,c,considrd,0
?,?,nn,,
Are,are,s,,
you,you,s,considrd,0
such,such,s,,
a,a,s,considrd,0
fool,fool,s,strd,0
you,you,s,considrd,0
know,know,s,,
not,not,s,,
that,that,c,considrd,0
?,?,n,,
Why,why,c,,
",",",",s,,
she,she,s,strd,0
is,is,s,strd,1
playing,playing,s,,
on,on,s,,
the,the,s,considrd,0
lute,lute,c,,
.,.,nn,,
And,and,s,,
where,where,s,,
is,is,s,considrd,0
my,my,s,considrd,0
daughter,daughter,s,,
Lucida,lucida,c,,
?,?,nn,,
She,she,s,considrd,0
is,is,s,considrd,0
killing,killing,s,,
a,a,s,considrd,0
pride,pride,c,,
.,.,nn,,
As,as,s,considrd,0
how,how,c,,
?,?,nn,,
She,she,s,considrd,0
is,is,s,considrd,0
combing,combing,s,,
of,of,s,considrd,0
her,her,s,,
head,head,c,,
",",",",s,,
she,she,s,considrd,0
will,will,s,,
not,not,s,,
have,have,s,strd,0
it,it,s,,
frizle,frizle,c,,
.,.,nn,,
Jest,jest,s,strd,0
not,not,s,,
sir,sir,c,strd,0
",",",",s,,
but,but,s,,
call,call,s,,
them,them,s,,
hither,hither,s,strd,0
quickly,quickly,c,,
.,.,nn,,
Ho,ho,s,,
mistres,mistres,s,,
quickly,quickly,c,,
",",",",s,,
you,you,s,considrd,0
must,must,s,,
come,come,s,,
hither,hither,n,strd,0
quickly,quickly,c,,
",",",",s,,
or,or,s,considrd,0
else,else,s,strd,0
my,my,s,considrd,0
master,master,s,,
will,will,s,,
beat,beat,s,,
me,me,s,,
quickly,quickly,c,,
.,.,nn,,
How,how,s,,
now,now,s,,
my,my,s,considrd,0
Lord,lord,c,,
?,?,nn,,
Annetta,annetta,s,,
call,call,s,,
me,me,s,,
wretch,wretch,c,,
.,.,nn,,
Why,why,s,,
what,what,s,,
is,is,s,considrd,0
befalne,befalne,c,,
?,?,nn,,
The,the,s,considrd,0
worst,worst,s,,
of,of,s,considrd,0
harms,harms,c,strd,0
.,.,nn,,
Where,where,s,,
is,is,s,considrd,0
Sempronio,sempronio,c,,
?,?,nn,,
Ah,ah,c,,
",",",",s,,
ask,ask,s,strd,0
not,not,s,,
where,where,s,,
he,he,s,considrd,0
is,is,c,considrd,0
",",",",n,,
Thou,thou,s,considrd,0
must,must,s,,
be,be,s,considrd,0
husbandlesse,husbandlesse,s,,
through,through,s,,
my,my,s,considrd,0
misdeeds,misdeeds,c,,
",",",",n,,
Thou,thou,s,considrd,0
must,must,s,,
be,be,s,considrd,0
fatherles,fatherles,s,,
through,through,s,,
my,my,s,considrd,0
disgrace,disgrace,c,,
:,:,n,,
Farewell,farewell,c,,
",",",",s,,
I,i,s,considrd,0
dare,dare,s,,
not,not,s,,
stay,stay,s,,
to,to,s,considrd,0
tell,tell,s,,
my,my,s,considrd,0
mind,mind,c,strd,0
",",",",n,,
I,i,s,considrd,0
have,have,s,strd,0
no,no,s,considrd,0
time,time,s,,
Annetta,annetta,s,,
to,to,s,considrd,0
embrace,embrace,s,strd,0
thee,thee,c,,
",",",",n,,
Unless,unless,s,strd,0
I,i,s,considrd,0
hazard,hazard,s,,
life,life,s,strd,0
to,to,s,considrd,0
stay,stay,s,,
so,so,s,,
long,long,c,,
",",",",n,,
Annetta,annetta,c,,
",",",",s,,
in,in,s,considrd,0
a,a,s,considrd,0
word,word,s,,
Sempronio's,sempronio's,s,,
dead,dead,c,,
",",",",n,,
His,his,s,considrd,0
friends,friends,s,,
pursue,pursue,s,,
me,me,c,,
",",",",s,,
and,and,s,,
to,to,s,considrd,0
save,save,s,strd,0
my,my,s,considrd,0
life,life,c,,
",",",",n,,
I,i,s,considrd,0
needs,needs,s,,
must,must,s,,
fly,fly,c,strd,0
:,:,s,,
you,you,s,considrd,0
for,for,s,considrd,0
your,your,s,,
maintenance,maintenance,n,,
Must,must,s,,
presently,presently,s,,
the,the,s,considrd,0
chiefest,chiefest,s,,
jewels,jewels,s,strd,0
seize,seize,c,,
",",",",n,,
Farewell,farewell,c,,
",",",",s,,
my,my,s,considrd,0
sighs,sighs,s,,
and,and,s,,
tears,tears,s,strd,0
must,must,s,,
tell,tell,s,,
the,the,s,considrd,0
rest,rest,c,,
.,.,nn,,
Whether,whether,s,,
cruel,cruel,s,strd,0
fortune,fortune,c,,
?,?,s,,
my,my,s,considrd,0
sweet,sweet,s,,
love,love,c,strd,0
.,.,nn,,
Captives,captives,s,strd,0
sweet,sweet,s,,
souls,souls,c,strd,0
",",",",s,,
in,in,s,considrd,0
chains,chains,s,strd,0
of,of,s,considrd,0
misery,misery,c,,
.,.,nn,,
Who,who,s,considrd,0
shall,shall,s,strd,0
relieve,relieve,s,strd,0
me,me,s,,
when,when,s,,
my,my,s,considrd,0
husband's,husband's,s,,
fled,fled,c,,
.,.,nn,,
He,he,s,considrd,0
that,that,s,considrd,0
releeues,releeues,s,,
poor,poor,s,,
souls,souls,s,,
when,when,s,,
hope,hope,s,,
is,is,s,considrd,0
dead,dead,c,,
.,.,nn,,
Who,who,s,considrd,0
shall,shall,s,considrd,0
