token,tokenToMatch,endReason,tag,tagIndex
THough,though,s,,
I,i,s,considrd,0
a,a,s,considrd,0
goddess,goddess,s,strd,0
glance,glance,s,,
through,through,s,,
th'azure,th'azure,s,,
round,round,c,,
",",",",n,,
Whilst,whilst,s,,
the,the,s,considrd,0
eie-feather'd,eie-feather'd,s,,
birds,birds,s,,
my,my,s,considrd,0
coach,coach,s,,
do,do,s,,
move,move,c,strd,0
:,:,n,,
And,and,s,,
am,am,s,,
with,with,s,considrd,0
radiant,radiant,s,,
stars,stars,s,strd,0
heavens,heavens,s,strd,0
Empress,empress,s,strd,0
crowned,crowned,c,strd,0
",",",",n,,
The,the,s,considrd,0
sister,sister,c,,
",",",",s,,
and,and,s,,
the,the,s,considrd,0
wife,wife,s,,
of,of,s,considrd,0
thundering,thundering,s,strd,0
Jove,jove,c,strd,0
.,.,n,,
And,and,s,,
though,though,s,,
I,i,s,considrd,0
banquet,banquet,s,,
in,in,s,considrd,0
the,the,s,strd,0
Aetheriall,aetheriall,s,,
bowres,bowres,c,,
",",",",n,,
Where,where,s,,
Ambrosie,ambrosie,s,,
and,and,s,,
Nectar,nectar,s,,
serves,serves,s,strd,0
for,for,s,considrd,0
meat,meat,c,strd,0
:,:,n,,
And,and,s,,
at,at,s,considrd,0
the,the,s,considrd,0
meeting,meeting,s,,
of,of,s,considrd,0
the,the,s,strd,0
immortal,immortal,s,strd,1
powers,powers,c,strd,0
",",",",n,,
Am,am,s,,
still,still,s,,
advanced,advanced,s,strd,0
unto,unto,s,strd,0
the,the,s,considrd,0
highest,highest,s,,
seat,seat,c,strd,0
:,:,n,,
Yet,yet,s,,
by,by,s,considrd,0
those,those,s,,
glorious,glorious,s,,
shows,shows,s,strd,0
of,of,s,considrd,0
boundless,boundless,s,strd,0
bliss,bliss,c,strd,0
",",",",n,,
My,my,s,considrd,0
martred,martred,s,,
mind,mind,s,strd,0
can,can,s,,
no,no,s,considrd,0
way,way,s,,
be,be,s,considrd,0
relieved,relieved,c,strd,0
",",",",n,,
Since,since,s,,
immortality,immortality,s,strd,0
affords,affords,s,,
but,but,s,,
this,this,c,considrd,0
",",",",n,,
That,that,s,considrd,0
I,i,s,considrd,0
may,may,s,,
ever,ever,s,strd,0
live,live,s,strd,0
being,being,s,,
ever,ever,s,strd,0
grieved,grieved,c,strd,0
.,.,n,,
In,in,s,considrd,0
vain,vain,c,strd,0
",",",",s,,
vain,vain,s,strd,0
mortals,mortals,s,,
seek,seek,s,strd,0
for,for,s,considrd,0
help,help,s,strd,0
at,at,s,considrd,0
me,me,c,,
",",",",n,,
With,with,s,considrd,0
Sacred,sacred,s,,
odours,odours,s,,
on,on,s,,
my,my,s,considrd,0
Altars,altars,s,,
thrown,thrown,c,strd,0
:,:,n,,
What,what,s,,
expectation,expectation,s,,
can,can,s,,
they,they,s,considrd,0
have,have,s,strd,0
to,to,s,considrd,0
see,see,c,,
",",",",n,,
One,one,s,,
venge,venge,s,,
their,their,s,considrd,0
