token,tokenToMatch,endReason,tag,tagIndex
NEW,new,s,considrd,0
Plays,plays,s,,
is,is,s,considrd,0
still,still,s,,
the,the,s,considrd,0
Cry,cry,s,,
of,of,s,considrd,0
the,the,s,considrd,0
whole,whole,s,,
Town,town,c,,
",",",",n,,
Therefore,therefore,s,,
to,to,s,considrd,0
day,day,c,,
",",",",s,,
young,young,s,,
Powell,powell,s,,
gives,gives,s,,
you,you,s,considrd,0
one,one,c,,
;,;,n,,
The,the,s,considrd,0
fellow,fellow,s,,
never,never,s,considrd,0
writ,writ,s,,
before,before,s,,
this,this,s,considrd,0
time,time,c,,
",",",",n,,
And,and,s,,
I,i,s,considrd,0
am,am,s,,
come,come,s,,
to,to,s,considrd,0
plead,plead,s,,
his,his,s,considrd,0
Cause,cause,s,,
in,in,s,considrd,0
Rhyme,rhyme,c,strd,0
;,;,n,,
You,you,s,considrd,0
may,may,s,,
be,be,s,considrd,0
sure,sure,s,,
that,that,s,considrd,0
writing,writing,s,,
is,is,s,considrd,0
grown,grown,s,,
scarce,scarce,c,,
",",",",n,,
When,when,s,,
he,he,s,considrd,0
sets,sets,s,,
up,up,s,,
for,for,s,considrd,0
Prose,prose,c,,
",",",",s,,
and,and,s,,
I,i,s,considrd,0
for,for,s,considrd,0
Verse,verse,c,,
;,;,n,,
Variety,variety,s,,
of,of,s,considrd,0
Plays,plays,c,,
",",",",s,,
like,like,s,,
Women,women,c,,
",",",",s,,
all,all,n,,
Desire,desire,c,,
",",",",s,,
and,and,s,,
both,both,c,,
",",",",s,,
when,when,s,,
had,had,c,considrd,0
",",",",s,,
grow,grow,s,,
dull,dull,c,,
:,:,n,,
Women,women,s,,
and,and,s,,
Plays,plays,s,,
are,are,s,,
both,both,s,,
uncertain,uncertain,s,,
too,too,c,,
",",",",n,,
We,we,s,considrd,0
cannot,cannot,s,,
swear,swear,s,,
they,they,s,strd,0
are,are,s,strd,1
sound,sound,c,,
",",",",s,,
till,till,s,,
tried,tried,s,strd,0
by,by,s,considrd,0
you,you,c,considrd,0
;,;,n,,
If,if,s,,
a,a,s,considrd,0
Play's,play's,s,,
bad,bad,c,,
",",",",s,,
it,it,s,strd,0
is,is,s,strd,1
but,but,s,,
three,three,s,,
hours,hours,s,,
enduring,enduring,c,,
",",",",n,,
But,but,s,,
Women,women,s,,
often,often,s,,
cost,cost,s,,
you,you,s,considrd,0
three,three,s,,
months,months,s,,
curing,curing,c,,
;,;,n,,
From,from,s,,
an,an,s,,
ill,ill,s,,
Play,play,c,,
",",",",s,,
each,each,s,,
to,to,s,considrd,0
the,the,s,considrd,0
Tavern,tavern,s,,
runs,runs,c,,
",",",",n,,
Cursing,cursing,s,,
the,the,s,considrd,0
Poet,poet,c,,
",",",",s,,
and,and,s,,
his,his,s,considrd,0
memory,memory,s,,
drowns,drowns,c,,
",",",",n,,
Drinking,drinking,s,,
Damnation,damnation,s,,
to,to,s,considrd,0
him,him,s,,
in,in,s,considrd,0
six,six,s,,
go,go,s,,
downs,downs,c,,
.,.,n,,
Our,our,s,,
Scribler,scribler,s,,
don't,don't,s,,
at,at,s,considrd,0
all,all,s,,
you,you,s,considrd,0
sharp,sharp,s,,
Wits,wits,s,,
dread,dread,c,,
",",",",n,,
He,he,s,considrd,0
