token,tokenToMatch,endReason,tag,tagIndex
IF,if,s,,
Dying,dying,s,,
Lovers,lovers,s,,
yet,yet,s,,
deserve,deserve,s,,
a,a,s,considrd,0
Tear,tear,c,,
",",",",n,,
If,if,s,,
a,a,s,considrd,0
sad,sad,s,,
story,story,s,,
of,of,s,considrd,0
a,a,s,considrd,0
Maids,maids,s,,
despair,despair,c,,
",",",",n,,
Yet,yet,s,,
move,move,s,,
Compassion,compassion,s,,
in,in,s,considrd,0
the,the,s,considrd,0
pitying,pitying,s,,
fair,fair,c,,
",",",",n,,
This,this,s,considrd,0
day,day,s,,
the,the,s,considrd,0
Poet,poet,s,,
does,does,s,,
his,his,s,considrd,0
Art,art,s,,
employ,employ,c,,
",",",",n,,
The,the,s,considrd,0
soft,soft,s,,
accesses,accesses,s,,
of,of,s,considrd,0
your,your,s,,
Souls,souls,s,,
to,to,s,considrd,0
try,try,c,,
.,.,n,,
Nor,nor,s,,
let,let,s,,
the,the,s,considrd,0
Stoic,stoic,s,strd,0
boast,boast,s,,
his,his,s,considrd,0
mind,mind,s,,
unmoved,unmoved,c,strd,0
",",",",n,,
The,the,s,considrd,0
Brute,brute,s,,
Philosopher,philosopher,c,,
",",",",s,,
who,who,s,considrd,0
never,never,s,strd,0
has,has,s,considrd,0
proved,proved,n,strd,0
The,the,s,considrd,0
Joy,joy,s,,
of,of,s,considrd,0
Loving,loving,s,,
or,or,s,considrd,0
of,of,s,considrd,0
being,being,s,,
Loved,loved,c,strd,0
;,;,n,,
Who,who,s,considrd,0
scorns,scorns,s,,
his,his,s,considrd,0
humane,humane,s,,
nature,nature,s,,
to,to,s,considrd,0
confess,confess,c,,
",",",",n,,
And,and,s,,
striving,striving,s,,
to,to,s,considrd,0
be,be,s,considrd,0
more,more,s,,
than,than,s,,
man,man,c,,
",",",",s,,
is,is,s,considrd,0
less,less,c,,
.,.,n,,
Nor,nor,s,,
let,let,s,,
the,the,s,considrd,0
men,men,c,,
",",",",s,,
the,the,s,considrd,0
weeping,weeping,s,,
fair,fair,s,,
accuse,accuse,n,,
Those,those,s,,
kind,kind,s,,
protectors,protectors,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Tragic,tragic,s,strd,0
Muse,muse,c,,
",",",",n,,
Whose,whose,s,,
Tears,tears,s,,
did,did,s,,
moving,moving,s,,
Otway's,otway's,s,,
labors,labors,s,strd,0
crown,crown,c,,
",",",",n,,
And,and,s,,
made,made,s,,
the,the,s,considrd,0
poor,poor,s,,
Monimia's,monimia's,s,,
Grief,grief,s,,
their,their,s,considrd,0
own,own,c,,
:,:,n,,
Those,those,s,,
Tears,tears,c,,
",",",",s,,
their,their,s,considrd,0
art,art,c,,
",",",",s,,
not,not,s,,
weakness,weakness,s,,
has,has,s,considrd,0
confessed,confessed,c,strd,0
",",",",n,,
Their,their,s,considrd,0
Grief,grief,s,,
approved,approved,s,strd,0
the,the,s,considrd,0
niceness,niceness,s,,
of,of,s,considrd,0
their,their,s,considrd,0
taste,taste,c,,
",",",",n,,
And,and,s,,
they,they,s,considrd,0
wept,wept,s,,
most,most,c,,
",",",",s,,
because,because,s,,
they,they,s,considrd,0
judged,judged,s,strd,0
the,the,s,considrd,0
best,best,c,,
.,.,n,,
O,o,s,,
could,could,s,strd,0
this,this,s,considrd,0
Age's,age's,s,,
Writers,writers,s,,
hope,hope,s,,
to,to,s,considrd,0
find,find,n,,
An,an,s,,
Audience,audience,s,,
to,to,s,considrd,0
Compassion,compassion,s,,
thus,thus,s,,
inclined,inclined,c,strd,0
",",",",n,,
The,the,s,considrd,0
Stage,stage,s,,
would,would,s,,
need,need,s,,
no,no,s,considrd,0
Farce,farce,c,,
",",",",s,,
nor,nor,s,,
Song,song,s,,
nor,nor,s,,
Dance,dance,c,,
",",",",n,,
Nor,nor,s,,
Capering,capering,s,,
Monsieur,monsieur,s,,
brought,brought,s,,
from,from,s,,
Active,active,s,,
France,france,c,,
.,.,n,,
Clinch,clinch,s,,
and,and,s,,
his,his,s,considrd,0
Organ,organ,s,,
Pipe,pipe,c,,
",",",",s,,
his,his,s,considrd,0
Dogs,dogs,s,,
and,and,s,,
Bear,bear,c,,
",",",",n,,
To,to,s,considrd,0
native,native,s,,
Barnet,barnet,s,,
might,might,s,,
again,again,s,,
repair,repair,c,,
",",",",n,,
Or,or,s,considrd,0
breathe,breathe,s,,
with,with,s,considrd,0
Captain,captain,s,,
Otter,otter,c,,
",",",",s,,
Bankside,bankside,s,,
Air,air,c,,
.,.,n,,
Majestic,majestic,s,strd,0
Tragedy,tragedy,s,,
should,should,s,strd,0
once,once,s,,
again,again,n,strd,0
In,in,s,considrd,0
Purple,purple,s,,
Pomp,pomp,s,,
adorn,adorn,s,,
the,the,s,considrd,0
swelling,swelling,s,,
Scene,scene,c,,
.,.,n,,
Her,her,s,,
search,search,s,,
should,should,s,strd,0
ransack,ransack,s,,
all,all,s,,
the,the,s,considrd,0
Ancient's,ancient's,s,,
store,store,c,,
",",",",n,,
The,the,s,considrd,0
Fortunes,fortunes,s,,
of,of,s,considrd,0
their,their,s,considrd,0
Loves,loves,s,,
and,and,s,,
Arms,arms,s,,
explore,explore,c,,
",",",",n,,
Such,such,s,,
as,as,s,considrd,0
might,might,s,,
grieve,grieve,s,,
you,you,c,considrd,0
",",",",s,,
but,but,s,,
should,should,s,strd,0
please,please,s,,
you,you,s,considrd,0
more,more,c,,
.,.,n,,
What,what,s,,
Shakespeare,shakespeare,s,strd,0
durst,durst,s,,
not,not,c,,
",",",",s,,
this,this,s,considrd,0
bold,bold,s,,
Age,age,s,,
should,should,s,strd,0
do,do,c,,
",",",",n,,
And,and,s,,
famous,famous,s,,
Greek,greek,s,,
and,and,s,,
Latian,latian,s,,
Beauties,beauties,s,,
show,show,c,,
.,.,n,,
Shakespeare,shakespeare,c,strd,0
",",",",s,,
whose,whose,s,,
Genius,genius,s,,
to,to,s,considrd,0
its,its,s,,
self,self,s,,
a,a,s,considrd,0
Law,law,c,,
",",",",n,,
Could,could,s,strd,0
men,men,s,,
in,in,s,considrd,0
every,every,s,,
height,height,s,,
of,of,s,considrd,0
Nature,nature,s,,
draw,draw,c,,
",",",",n,,
And,and,s,,
Copied,copied,s,strd,0
all,all,s,,
but,but,s,,
women,women,s,,
that,that,s,considrd,0
he,he,s,considrd,0
saw,saw,c,,
.,.,n,,
Those,those,s,,
Ancient,ancient,s,,
Heroines,heroines,s,,
your,your,s,,
concern,concern,s,,
should,should,s,strd,0
move,move,c,,
",",",",n,,
Their,their,s,considrd,0
Grief,grief,s,,
and,and,s,,
Anger,anger,s,,
much,much,c,,
",",",",s,,
but,but,s,,
most,most,s,,
their,their,s,considrd,0
Love,love,c,,
;,;,n,,
For,for,s,considrd,0
in,in,s,considrd,0
the,the,s,considrd,0
account,account,s,,
of,of,s,considrd,0
every,every,s,,
Age,age,s,,
we,we,s,considrd,0
find,find,n,,
The,the,s,considrd,0
best,best,s,,
and,and,s,,
fairest,fairest,s,,
of,of,s,considrd,0
that,that,s,considrd,0
Sex,sex,s,,
were,were,s,,
kind,kind,c,,
",",",",n,,
To,to,s,considrd,0
Pity,pity,s,,
always,always,c,,
",",",",s,,
and,and,s,,
to,to,s,considrd,0
Love,love,s,,
inclined,inclined,c,strd,0
.,.,n,,
Assert,assert,c,,
",",",",s,,
ye,ye,s,,
fair,fair,s,,
ones,ones,c,,
",",",",s,,
who,who,s,considrd,0
in,in,s,considrd,0
Judgment,judgment,s,,
sit,sit,c,,
",",",",n,,
Your,your,s,,
Ancient,ancient,s,,
Empire,empire,s,,
over,over,s,considrd,0
Love,love,s,,
and,and,s,,
Wit,wit,c,,
;,;,n,,
Reform,reform,s,,
our,our,s,,
Sense,sense,c,,
",",",",s,,
and,and,s,,
teach,teach,s,,
the,the,s,considrd,0
men,men,s,,
to,to,s,strd,0
Obey,obey,c,,
",",",",n,,
They,they,s,strd,0
Will,will,s,strd,1
leave,leave,s,,
their,their,s,considrd,0
Tumbling,tumbling,s,,
if,if,s,,
you,you,s,considrd,0
lead,lead,s,,
the,the,s,considrd,0
way,way,c,,
.,.,n,,
Be,be,s,considrd,0
but,but,s,,
what,what,s,,
those,those,s,,
before,before,s,,
to,to,s,considrd,0
Otway,otway,s,,
were,were,c,,
;,;,n,,
O,o,s,,
were,were,s,,
you,you,s,considrd,0
but,but,s,,
as,as,s,considrd,0
kind,kind,c,,
",",",",s,,
we,we,s,considrd,0
know,know,s,,
you,you,s,considrd,0
are,are,s,,
as,as,s,considrd,0
fair,fair,c,,
.,.,nn,,
WHat,what,s,,
bringst,bringst,s,,
thou,thou,c,considrd,0
",",",",s,,
Magas,magas,c,,
?,?,s,,
Say,say,c,,
",",",",s,,
how,how,s,,
fares,fares,s,,
the,the,s,considrd,0
King,king,c,,
?,?,nn,,
As,as,s,considrd,0
one,one,c,,
",",",",s,,
whom,whom,s,,
when,when,s,,
we,we,s,considrd,0
number,number,s,,
with,with,s,considrd,0
the,the,s,considrd,0
living,living,c,,
",",",",n,,
We,we,s,considrd,0
say,say,s,,
the,the,s,considrd,0
most,most,s,,
we,we,s,considrd,0
can,can,c,,
;,;,s,,
tho,tho,s,,
sure,sure,s,,
it,it,s,,
must,must,n,,
Be,be,s,considrd,0
happier,happier,s,,
far,far,c,,
",",",",s,,
to,to,s,considrd,0
quit,quit,s,,
a,a,s,considrd,0
wretched,wretched,s,,
being,being,c,,
",",",",n,,
Than,than,s,,
keep,keep,s,,
it,it,s,,
on,on,s,,
such,such,s,,
terms,terms,c,,
:,:,s,,
For,for,s,considrd,0
as,as,s,considrd,0
I,i,s,considrd,0
entered,entered,n,strd,0
The,the,s,considrd,0
Royal,royal,s,,
Lodging,lodging,c,,
",",",",s,,
an,an,s,,
universal,universal,s,,
horror,horror,n,,
Struck,struck,s,,
through,through,s,strd,0
my,my,s,considrd,0
Eyes,eyes,c,,
",",",",s,,
and,and,s,,
chilled,chilled,s,strd,0
my,my,s,considrd,0
very,very,s,,
Heart,heart,c,,
;,;,n,,
The,the,s,considrd,0
cheerful,cheerful,s,strd,0
day,day,s,,
was,was,s,,
every,every,s,,
where,where,s,,
shut,shut,s,,
out,out,n,,
With,with,s,considrd,0
care,care,c,,
",",",",s,,
and,and,s,,
left,left,s,,
a,a,s,considrd,0
more,more,s,,
than,than,s,,
midnight,midnight,s,,
darkness,darkness,c,,
",",",",n,,
Such,such,s,,
as,as,s,considrd,0
might,might,s,,
even,even,s,strd,0
be,be,s,considrd,0
felt,felt,c,,
:,:,s,,
A,a,s,considrd,0
few,few,s,,
dim,dim,s,,
Lamps,lamps,c,,
",",",",n,,
