token,tokenToMatch,endReason,tag,tagIndex
dressing,dressing,c,,
",",",",s,,
and,and,s,,
habits,habits,s,,
did,did,s,,
soon,soon,s,strd,0
appear,appear,nn,strd,0
One,one,s,,
in,in,s,considrd,0
a,a,s,considrd,0
costly,costly,s,,
Cassock,cassock,s,,
of,of,s,considrd,0
black,black,s,,
Buckram,buckram,s,,
girt,girt,s,,
unto,unto,s,,
him,him,c,,
",",",",s,,
whereon,whereon,s,,
was,was,s,,
painted,painted,n,,
Party-per,party-per,s,,
pale,pale,c,,
:,:,s,,
A,a,c,considrd,0
.,.,c,,
B,b,c,considrd,0
.,.,c,,
C,c,c,,
.,.,s,,
etc,etc,nn,,
The,the,s,considrd,0
other,other,s,,
in,in,s,considrd,0
a,a,s,considrd,0
Taberd,taberd,c,,
",",",",s,,
or,or,s,considrd,0
Heralds,heralds,s,,
Coat,coat,s,,
of,of,s,considrd,0
Azure,azure,c,,
",",",",s,,
and,and,s,,
Gules,gules,s,,
quarterly,quarterly,s,,
changed,changed,n,strd,0
of,of,s,considrd,0
Buckram,buckram,c,,
;,;,s,,
Limn'd,limn'd,s,,
with,with,s,considrd,0
yellow,yellow,c,,
",",",",s,,
in,in,s,considrd,0
stead,stead,s,,
of,of,s,considrd,0
Gold,gold,c,,
",",",",s,,
and,and,s,,
pasted,pasted,s,,
over,over,s,considrd,0
with,with,s,considrd,0
old,old,n,,
Records,records,s,,
of,of,s,considrd,0
the,the,s,considrd,0
two,two,s,,
Shires,shires,c,,
",",",",s,,
and,and,s,,
certain,certain,s,strd,0
fragments,fragments,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Forest,forest,c,strd,0
",",",",s,,
as,as,s,considrd,0
a,a,s,considrd,0
Coat,coat,s,,
of,of,n,considrd,0
Antiquity,antiquity,c,strd,0
",",",",s,,
and,and,s,,
President,president,c,,
",",",",s,,
willing,willing,s,,
to,to,s,considrd,0
be,be,s,considrd,0
seen,seen,c,strd,0
",",",",s,,
but,but,s,,
heard,heard,s,,
to,to,s,considrd,0
be,be,s,considrd,0
read,read,c,,
",",",",s,,
and,and,s,,
is,is,n,considrd,0
loath,loath,s,strd,0
to,to,s,considrd,0
be,be,s,considrd,0
understood,understood,c,,
",",",",s,,
without,without,s,,
the,the,s,considrd,0
Interpreter,interpreter,c,,
",",",",s,,
who,who,s,considrd,0
wore,wore,s,,
it,it,c,,
:,:,s,,
For,for,s,considrd,0
the,the,s,considrd,0
wrong,wrong,s,,
end,end,n,,
of,of,s,considrd,0
the,the,s,considrd,0
letters,letters,s,,
were,were,s,,
turned,turned,s,strd,0
upward,upward,c,,
",",",",s,,
therefore,therefore,s,,
was,was,s,,
a,a,s,considrd,0
labell,labell,s,,
fixed,fixed,s,strd,0
to,to,c,considrd,0
",",",",s,,
To,to,s,considrd,0
the,the,n,considrd,0
Curious,curious,s,,
Prier,prier,c,,
",",",",s,,
advertising,advertising,c,,
:,:,s,,
Look,look,s,strd,0
not,not,s,,
so,so,s,,
near,near,c,strd,0
",",",",s,,
with,with,s,considrd,0
hope,hope,s,,
to,to,s,considrd,0
understand,understand,n,,
Out-cept,out-cept,c,,
",",",",s,,
Sir,sir,c,,
",",",",s,,
you,you,s,considrd,0
can,can,s,,
read,read,s,,
with,with,s,considrd,0
the,the,s,considrd,0
left,left,s,,
hand,hand,c,,
.,.,nnn,,
Their,their,s,considrd,0
Names,names,s,,
were,were,c,,
",",",",s,,
Accidence,accidence,c,,
",",",",s,,
Fitz-Ale,fitz-ale,c,,
.,.,nn,,
BY,by,s,considrd,0
your,your,s,,
fair,fair,s,strd,0
leave,leave,s,,
Gentlemen,gentlemen,s,,
of,of,s,considrd,0
Court,court,c,,
;,;,s,,
for,for,s,considrd,0
leave,leave,s,,
is,is,s,considrd,0
ever,ever,s,,
fair,fair,s,strd,0
being,being,s,,
asked,asked,c,strd,0
;,;,n,,
and,and,s,,
granted,granted,s,,
is,is,s,considrd,0
as,as,s,considrd,0
light,light,c,,
",",",",s,,
according,according,s,,
to,to,s,considrd,0
our,our,s,,
English,english,s,,
Proverb,proverb,c,strd,0
",",",",s,,
Leave,leave,s,,
is,is,s,considrd,0
light,light,c,,
.,.,n,,
Which,which,s,considrd,0
is,is,s,considrd,0
the,the,s,considrd,0
King,king,s,,
I,i,s,considrd,0
pray,pray,s,,
you,you,nnn,considrd,0
Or,or,s,considrd,0
rather,rather,s,,
the,the,s,considrd,0
Kings,kings,s,,
Lieutenant,lieutenant,c,,
?,?,s,,
For,for,s,considrd,0
we,we,s,considrd,0
have,have,s,considrd,0
nothing,nothing,s,,
to,to,s,considrd,0
say,say,s,,
to,to,s,considrd,0
the,the,s,considrd,0
King,king,c,,
",",",",s,,
till,till,n,,
we,we,s,considrd,0
have,have,s,considrd,0
spoken,spoken,s,,
with,with,s,considrd,0
my,my,s,considrd,0
Lord,lord,s,,
Lieutenant,lieutenant,nnn,,
Of,of,s,considrd,0
Nottinghamshire,nottinghamshire,c,,
.,.,nnn,,
And,and,s,,
Darbyshire,darbyshire,c,,
",",",",s,,
for,for,s,considrd,0
he,he,s,considrd,0
is,is,s,considrd,0
both,both,c,,
.,.,s,,
And,and,s,,
we,we,s,considrd,0
have,have,s,considrd,0
business,business,s,strd,0
to,to,s,considrd,0
both,both,s,,
sides,sides,s,,
of,of,s,considrd,0
him,him,n,,
from,from,s,,
either,either,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Counties,counties,nnn,,
As,as,s,considrd,0
far,far,s,strd,0
as,as,s,considrd,0
his,his,s,considrd,0
Command,command,s,,
stretches,stretches,c,,
.,.,nnn,,
Is,is,s,considrd,0
this,this,s,considrd,0
he,he,c,considrd,0
?,?,nnn,,
This,this,s,considrd,0
is,is,s,considrd,0
no,no,s,considrd,0
great,great,s,considrd,0
man,man,s,,
by,by,s,considrd,0
his,his,s,considrd,0
timber,timber,s,,
(,(,c,,
as,as,s,considrd,0
we,we,s,considrd,0
say,say,s,,
in,in,s,strd,0
the,the,s,considrd,0
Forest,forest,c,strd,0
),),s,,
by,by,s,considrd,0
his,his,s,considrd,0
thewes,thewes,s,,
he,he,n,considrd,0
may,may,c,,
.,.,s,,
I,i,s,strd,0
Will,will,s,strd,1
venture,venture,s,,
a,a,s,considrd,0
Part,part,s,,
of,of,s,considrd,0
Speech,speech,c,,
",",",",s,,
two,two,c,,
",",",",s,,
or,or,s,considrd,0
three,three,s,,
at,at,s,considrd,0
him,him,c,,
;,;,s,,
to,to,s,considrd,0
see,see,s,,
how,how,s,,
he,he,s,strd,0
is,is,n,considrd,0
declined,declined,c,strd,0
.,.,s,,
My,my,s,considrd,0
Lord,lord,c,,
",",",",s,,
Pleases,pleases,s,strd,0
your,your,s,,
good,good,s,,
Lordship,lordship,c,,
",",",",s,,
I,i,s,considrd,0
am,am,s,,
a,a,s,considrd,0
poor,poor,s,strd,0
Neighbor,neighbor,c,strd,0
",",",",s,,
here,here,c,,
",",",",n,,
of,of,s,considrd,0
your,your,s,,
Honors,honors,c,strd,0
",",",",s,,
in,in,s,strd,0
the,the,s,considrd,0
County,county,nnn,strd,0
Mr,mr,c,,
.,.,s,,
A-B-Cee,a-b-cee,s,,
Accidence,accidence,c,,
",",",",s,,
my,my,s,considrd,0
good,good,s,,
Lord,lord,c,,
",",",",s,,
Schoolmasters,schoolmasters,s,strd,0
of,of,s,considrd,0
Mansfield,mansfield,c,,
",",",",s,,
the,the,s,considrd,0
painful,painful,n,strd,0
Instructor,instructor,s,strd,0
of,of,s,considrd,0
our,our,s,,
Youth,youth,s,,
in,in,s,considrd,0
their,their,s,considrd,0
Country,country,s,strd,0
elements,elements,c,,
",",",",s,,
as,as,s,considrd,0
appears,appears,s,strd,0
by,by,s,considrd,0
the,the,s,considrd,0
sign,sign,n,strd,0
of,of,s,considrd,0
correction,correction,c,,
",",",",s,,
in,in,s,considrd,0
his,his,s,considrd,0
hat,hat,c,,
",",",",s,,
with,with,s,considrd,0
