token,tokenToMatch,endReason,tag,tagIndex
NO,no,s,considrd,0
fleet,fleet,s,,
of,of,s,considrd,0
foet,foet,c,,
",",",",s,,
nor,nor,s,,
swift,swift,s,,
of,of,s,considrd,0
wyng,wyng,c,,
",",",",n,,
nor,nor,s,,
skarce,skarce,s,,
the,the,s,considrd,0
thought,thought,s,,
in,in,s,considrd,0
breast,breast,c,strd,0
:,:,n,,
Nor,nor,s,,
yet,yet,s,,
the,the,s,considrd,0
Arrowe,arrowe,s,,
out,out,s,,
of,of,s,considrd,0
Be,be,c,strd,0
",",",",n,,
nor,nor,s,,
Wind,wind,s,strd,0
that,that,s,considrd,0
s^ld,s^ld,s,,
does,does,s,strd,0
rest,rest,c,,
.,.,n,,
Compaers,compaers,s,,
with,with,s,considrd,0
me,me,s,,
quick,quick,s,,
worlds,worlds,s,,
report,report,c,,
",",",",n,,
that,that,s,considrd,0
some,some,s,strd,0
calls,calls,s,,
Flying,flying,s,,
Faem,faem,c,,
:,:,n,,
A,a,s,considrd,0
bruet,bruet,s,,
of,of,s,considrd,0
prays,prays,c,strd,0
",",",",s,,
a,a,s,considrd,0
blast,blast,s,,
of,of,s,considrd,0
pomp,pomp,c,,
",",",",n,,
a,a,s,considrd,0
blazer,blazer,s,,
of,of,s,considrd,0
good,good,s,,
naem,naem,c,,
.,.,n,,
The,the,s,considrd,0
only,only,s,,
lawd,lawd,s,,
that,that,s,considrd,0
kings,kings,s,strd,0
do,do,s,,
seek,seek,c,,
",",",",n,,
a,a,s,considrd,0
Joy,joy,s,strd,0
to,to,s,considrd,0
^atch,^atch,s,,
estaet,estaet,c,,
:,:,n,,
A,a,s,considrd,0
welcome,welcome,s,strd,0
friend,friend,s,strd,0
that,that,s,considrd,0
all,all,s,,
men,men,s,,
loves,loves,c,strd,0
",",",",n,,
and,and,s,,
noen,noen,s,,
a,a,s,considrd,0
live,live,s,strd,0
does,does,s,strd,0
haet,haet,c,,
.,.,n,,
Saluets,saluets,s,,
the,the,s,considrd,0
Queen,queen,s,,
of,of,s,considrd,0
raer,raer,s,,
renown,renown,c,strd,0
",",",",n,,
whose,whose,s,,
goodly,goodly,s,,
gifts,gifts,s,,
deuien,deuien,c,,
:,:,n,,
Throw,throw,s,,
Earth,earth,s,,
and,and,s,,
Air,air,s,strd,0
with,with,s,considrd,0
glory,glory,s,,
great,great,c,considrd,0
",",",",n,,
shall,shall,s,considrd,0
pass,pass,s,strd,0
this,this,s,considrd,0
